model_name,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-80M,512,512,64,192,32,64,192,32,0.00028406399906089064,5.917999980435222e-06,316.55533767198744,1
Llama-80M,1408,512,64,192,32,64,192,32,0.000782891999278945,5.930999994537463e-06,316.55533767198744,1
Llama-80M,512,1408,256,192,32,256,192,32,0.0007514879980590194,5.8709999848360894e-06,316.55533767198744,1
Llama-80M,32000,512,160,192,32,160,192,32,0.017701999922792307,5.90066664093077e-06,316.55533767198744,1
Llama-80M,1408,512,128,192,32,128,192,32,0.0007842559998607611,5.941333332278494e-06,316.0047755279449,2
Llama-80M,512,512,256,192,32,256,192,32,0.00028532799842651,5.944333300552292e-06,315.1530015948854,2
Llama-80M,32000,512,256,192,32,256,192,32,0.017832000025919115,5.944000008639705e-06,314.24756364311327,2
Llama-80M,512,512,512,192,32,512,192,32,0.0002862880010070512,5.964333354313567e-06,314.0962067109498,3
Llama-80M,512,1408,128,192,32,128,192,32,0.0007578879982853929,5.920999986604632e-06,313.88217984742255,2
Llama-80M,512,1408,512,192,32,512,192,32,0.0007583146701411655,5.924333360477855e-06,313.7055715112756,3
Llama-80M,32000,512,64,192,32,64,192,32,0.017864000028566807,5.9546666761889355e-06,313.6846481229314,3
Llama-80M,512,512,128,192,32,128,192,32,0.0002867679995688377,5.974333324350785e-06,313.5704655971905,4
Llama-80M,1408,512,32,192,32,32,192,32,0.0007903720052127029,5.98766670615684e-06,313.5594878841246,3
Llama-80M,512,1408,64,192,32,64,192,32,0.0007625813401925067,5.957666720253958e-06,311.95037754525464,4
Llama-80M,32000,512,320,192,32,320,192,32,0.017972000023291915,5.990666674430638e-06,311.7996080439909,4
Llama-80M,32000,512,32,192,32,32,192,32,0.01797300001271651,5.991000004238837e-06,311.7822600046866,5
Llama-80M,32000,512,128,192,32,128,192,32,0.017994000018006773,5.998000006002258e-06,311.41839265429445,6
Llama-80M,512,512,32,192,32,32,192,32,0.0002920480001193937,6.084333335820702e-06,307.9013556210413,5
Llama-80M,512,1408,32,192,32,32,192,32,0.0007805013301549479,6.097666641835531e-06,304.7881250052354,5
Llama-80M,512,1408,512,96,32,512,96,32,0.0012783999954990577,5.326666647912741e-06,186.08224172368912,6
Llama-80M,512,1408,64,96,32,64,96,32,0.0012911999965581344,5.379999985658894e-06,184.23756011163232,7
Llama-80M,512,1408,256,96,32,256,96,32,0.0012951999997312669,5.396666665546945e-06,183.668573989636,8
Llama-80M,512,1408,128,96,32,128,96,32,0.0012992000029043993,5.413333345434997e-06,183.10309147953683,9
Llama-80M,512,1408,32,96,32,32,96,32,0.0013048000073467847,5.4366666972782696e-06,182.31724068253618,10
Llama-80M,512,512,128,96,32,128,96,32,0.0005087999961688183,5.299999960091857e-06,176.73344304298996,6
Llama-80M,1408,512,128,96,32,128,96,32,0.0014141600013317657,5.356666671711234e-06,175.24794999084588,4
Llama-80M,1408,512,64,96,32,64,96,32,0.001415920002727944,5.363333343666454e-06,175.0301152006974,5
Llama-80M,32000,512,128,96,32,128,96,32,0.03203799997208989,5.339666662014982e-06,174.90675347745432,7
Llama-80M,512,512,256,96,32,256,96,32,0.00051420800446067,5.356333379798646e-06,174.87470899542012,7
Llama-80M,512,512,512,96,32,512,96,32,0.0005142720037838444,5.357000039415046e-06,174.85294645938146,8
Llama-80M,32000,512,320,96,32,320,96,32,0.032180000061998726,5.363333343666454e-06,174.13494568778341,8
Llama-80M,32000,512,256,96,32,256,96,32,0.032181999586100574,5.363666597683429e-06,174.12412637806506,9
Llama-80M,32000,512,160,96,32,160,96,32,0.032319999945684685,5.386666657614114e-06,173.3806488999455,10
Llama-80M,512,512,64,96,32,64,96,32,0.0005193600009079091,5.410000009457387e-06,173.13997032112601,9
Llama-80M,32000,512,64,96,32,64,96,32,0.032400000009147334,5.400000001524556e-06,172.9525481928074,11
Llama-80M,1408,512,32,96,32,32,96,32,0.0014380079892362119,5.4469999592280755e-06,172.34163026039676,6
Llama-80M,32000,512,32,96,32,32,96,32,0.03264000019953528,5.44000003325588e-06,171.68083727857325,12
Llama-80M,512,512,32,96,32,32,96,32,0.0005825279986311216,6.06799998574085e-06,154.36506975541496,10
