model_name,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-80M,512,512,256,256,64,256,256,64,0.00012598933305222695,7.874333315764185e-06,320.36127354341545,1
Llama-80M,1408,512,64,256,64,64,256,64,0.0003494186663980751,7.94133332722898e-06,320.36127354341545,1
Llama-80M,512,1408,64,128,64,64,128,64,0.0005715893278951019,6.495333271535249e-06,320.36127354341545,1
Llama-80M,32000,512,320,256,64,320,256,64,0.007860999971853744,7.860999971853744e-06,320.36127354341545,1
Llama-80M,32000,512,128,256,64,128,256,64,0.007871333309594775,7.871333309594775e-06,319.9407093126217,2
Llama-80M,1408,512,128,256,64,128,256,64,0.00035000533519754146,7.954666709035033e-06,319.8242932609888,2
Llama-80M,512,1408,128,128,64,128,128,64,0.0005727333358057269,6.508333361428716e-06,319.72136696162727,2
Llama-80M,512,512,512,256,64,512,256,64,0.0001264160000573611,7.901000003585068e-06,319.2800212883077,2
Llama-80M,32000,512,64,256,64,64,256,64,0.007887999989482827,7.887999989482827e-06,319.2647015296121,3
Llama-80M,512,512,128,256,64,128,256,64,0.00012657600018428639,7.911000011517899e-06,318.87643100376346,3
Llama-80M,512,512,64,256,64,64,256,64,0.00012685333361635762,7.928333351022351e-06,318.1792865732958,4
Llama-80M,32000,512,256,256,64,256,256,64,0.00793500002297757,7.93500002297757e-06,317.3736553264452,4
Llama-80M,512,1408,512,128,64,512,128,64,0.000577192002007602,6.559000022813659e-06,317.2515980668214,3
Llama-80M,512,1408,256,128,64,256,128,64,0.0005792159972770605,6.581999969057506e-06,316.143003454908,4
Llama-80M,1408,512,64,256,32,64,256,32,0.0005463626645602442,6.208666642730047e-06,204.88261044928373,3
Llama-80M,1408,512,128,256,32,128,256,32,0.0005477999926976433,6.224999917018674e-06,204.34503552268984,4
Llama-80M,32000,512,160,256,32,160,256,32,0.012363333325993153,6.181666662996577e-06,203.69587197112293,5
Llama-80M,512,512,128,256,32,128,256,32,0.00019877333397744223,6.21166668679507e-06,203.05592496666299,5
Llama-80M,1408,512,32,256,32,32,256,32,0.0005516133357256574,6.268333360518834e-06,202.93238346000064,5
Llama-80M,32000,512,320,256,32,320,256,32,0.012416000042018517,6.208000021009259e-06,202.8318261747041,6
Llama-80M,32000,512,64,256,32,64,256,32,0.012423333449381365,6.211666724690683e-06,202.71209595788665,7
Llama-80M,32000,512,32,256,32,32,256,32,0.012456666657575019,6.228333328787509e-06,202.16965192500993,8
Llama-80M,512,512,512,256,32,512,256,32,0.00019981866595723355,6.244333311163548e-06,201.99365758019576,6
Llama-80M,32000,512,128,256,32,128,256,32,0.01247000000148546,6.23500000074273e-06,201.95348532540694,9
Llama-80M,512,512,64,256,32,64,256,32,0.0002000639991213878,6.251999972543369e-06,201.74595812716638,7
Llama-80M,512,512,256,256,32,256,256,32,0.00020110933352649832,6.2846666727030725e-06,200.69731464839654,8
Llama-80M,512,512,32,256,32,32,256,32,0.00020260266683180816,6.331333338494005e-06,199.21802521485958,9
Llama-80M,32000,512,256,256,32,256,256,32,0.012643333320738748,6.321666660369374e-06,199.1848113485211,10
Llama-80M,1408,512,64,128,64,64,128,64,0.0005686559989044326,6.461999987550371e-06,196.85048462126863,6
Llama-80M,512,512,256,128,64,256,128,64,0.000206890667565555,6.4653333614235935e-06,195.08904710120814,10
Llama-80M,32000,512,256,128,64,256,128,64,0.012910666706981525,6.4553333534907624e-06,195.0604116320344,11
Llama-80M,1408,512,128,128,64,128,128,64,0.0005754026609186742,6.538666601348571e-06,194.54239017318426,7
Llama-80M,512,512,64,128,64,64,128,64,0.0002076373336118801,6.4886666753712534e-06,194.3875048258066,11
Llama-80M,32000,512,320,128,64,320,128,64,0.012964000082623293,6.482000041311646e-06,194.2579409331678,12
Llama-80M,32000,512,128,128,64,128,128,64,0.012970666678787287,6.485333339393644e-06,194.158097241558,13
Llama-80M,32000,512,64,128,64,64,128,64,0.012990666618861724,6.495333309430862e-06,193.85917876233543,14
Llama-80M,512,512,128,128,64,128,128,64,0.00020870399869939624,6.521999959356132e-06,193.3940098945201,12
Llama-80M,512,512,512,128,64,512,128,64,0.00020870399991205582,6.521999997251744e-06,193.39400877081815,13
Llama-80M,512,1408,512,128,32,512,128,32,0.0009816106636814461,5.5773333163718535e-06,186.54553358410186,5
Llama-80M,512,1408,32,128,32,32,128,32,0.0009862453346916786,5.603666674384537e-06,185.66889858652198,6
Llama-80M,512,1408,256,128,32,256,128,32,0.000988005329418229,5.613666644421755e-06,185.3381551455032,7
Llama-80M,512,1408,64,128,32,64,128,32,0.000988005336087857,5.613666682317368e-06,185.33815389435964,8
Llama-80M,512,1408,128,128,32,128,128,32,0.0009968053363991203,5.663666684085911e-06,183.70195096445644,9
Llama-80M,512,1408,256,64,64,256,64,64,0.0010180426652368624,5.784333325209445e-06,179.86975524812146,10
Llama-80M,512,1408,512,64,64,512,64,64,0.0010286026602746765,5.844333297015207e-06,178.02314936595724,11
Llama-80M,512,1408,128,64,64,128,64,64,0.0010314773365583583,5.8606666849906714e-06,177.52700765998804,12
Llama-80M,512,1408,64,64,64,64,64,64,0.001038048007103498,5.898000040360785e-06,176.40329134608348,13
Llama-80M,1408,512,64,128,32,64,128,32,0.0009786773346907771,5.560666674379415e-06,114.37907571702148,8
Llama-80M,1408,512,32,128,32,32,128,32,0.0009803786633710843,5.570333314608433e-06,114.18058465513396,9
Llama-80M,32000,512,64,128,32,64,128,32,0.022188000002643093,5.547000000660773e-06,113.50098981466671,15
Llama-80M,512,512,512,128,32,512,128,32,0.00035690666603234905,5.576666656755454e-06,113.08867844412477,14
Llama-80M,32000,512,32,128,32,32,128,32,0.022279999939200934,5.5699999848002335e-06,113.0323145951561,16
Llama-80M,1408,512,128,128,32,128,128,32,0.0009915253255409575,5.633666622391805e-06,112.89697406978154,10
Llama-80M,32000,512,320,128,32,320,128,32,0.02230799994625461,5.576999986563654e-06,112.89044147279716,17
Llama-80M,512,512,32,128,32,32,128,32,0.00035754666654005024,5.586666664688285e-06,112.88625224807076,15
Llama-80M,512,512,128,128,32,128,128,32,0.000357567999647775,5.586999994496485e-06,112.8795172645649,16
Llama-80M,512,512,256,128,32,256,128,32,0.00035799466907822836,5.593666704347318e-06,112.7449838664416,17
Llama-80M,32000,512,256,128,32,256,128,32,0.022401333353627706,5.6003333384069265e-06,112.42009225758838,18
Llama-80M,32000,512,160,128,32,160,128,32,0.022454666729269476,5.613666682317368e-06,112.15307680452707,19
Llama-80M,32000,512,128,128,32,128,128,32,0.022509333272561587,5.627333318140397e-06,111.88069996625121,20
