model_name,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-500M,1280,1280,64,256,64,64,256,64,0.031243999837897718,7.810999959474429e-05,33.34651561042439,1
Llama-500M,3456,1280,384,256,64,384,256,64,0.15216119909891856,0.00014088999916566535,33.34651561042439,1
Llama-500M,1280,3456,320,128,64,320,128,64,0.3181809599976987,0.00014730599999893457,33.34651561042439,1
Llama-500M,32000,1280,128,256,64,128,256,64,1.2110399984521791,0.00012110399984521791,33.34651561042439,1
Llama-500M,32000,1280,256,256,64,256,256,64,1.3874600059352815,0.00013874600059352816,29.106398772201903,2
Llama-500M,32000,1280,160,256,32,160,256,32,1.5474000072572383,7.737000036286191e-05,26.097947540283634,3
Llama-500M,3456,1280,128,256,32,128,256,32,0.1988064012955874,9.204000059980899e-05,25.522547402831552,2
Llama-500M,1280,3456,160,128,32,160,128,32,0.4380134371574968,0.00010139199934201315,24.223517932140403,2
Llama-500M,1280,3456,128,128,64,128,128,64,0.4579415967687964,0.00021200999850407243,23.169387590837097,3
Llama-500M,32000,1280,128,128,64,128,128,64,1.8702400149777532,9.351200074888765e-05,21.59293132957285,4
Llama-500M,3456,1280,192,256,64,192,256,64,0.24718823911389334,0.0002288779991795309,20.52705185020994,3
Llama-500M,3456,1280,64,128,64,64,128,64,0.2545646390179172,0.00011785399954533204,19.932249116091302,4
Llama-500M,3456,1280,128,256,64,128,256,64,0.27384912032866854,0.0002535640003043227,18.52861822219187,5
Llama-500M,32000,1280,320,256,64,320,256,64,2.2226199944270775,0.00022226199944270776,18.16953159536552,5
Llama-500M,1280,3456,64,64,64,64,64,64,0.6047308792825788,0.0001399839998339303,17.54536887894744,4
Llama-500M,3456,1280,384,256,32,384,256,32,0.295980476285331,0.0001370279982802458,17.14317736336603,6
Llama-500M,1280,1280,256,256,64,256,256,64,0.061228000558912754,0.0001530700013972819,17.016373535243435,2
Llama-500M,1280,3456,128,128,32,128,128,32,0.6306508805137128,0.00014598400011891499,16.824247261591466,5
Llama-500M,32000,1280,128,256,32,128,256,32,2.4405599862802774,0.00012202799931401387,16.547007424629705,6
Llama-500M,1280,1280,64,256,32,64,256,32,0.06312639964744449,7.890799955930561e-05,16.504640437999875,3
Llama-500M,1280,3456,320,64,64,320,64,64,0.6737299216445536,0.0001559560003806837,15.748486164313213,6
Llama-500M,1280,3456,32,128,32,32,128,32,0.6854716792702675,0.00015867399983108044,15.478723148414248,7
Llama-500M,32000,1280,64,128,32,64,128,32,2.669279999099672,6.67319999774918e-05,15.129160008262577,7
Llama-500M,32000,1280,320,128,64,320,128,64,2.8263600077480073,0.00014131800038740038,14.288329902251602,8
Llama-500M,1280,3456,256,128,64,256,128,64,0.780978238536045,0.00036156399932224303,13.585815616824485,8
Llama-500M,32000,1280,32,256,32,32,256,32,3.004679997684434,0.0001502339998842217,13.44035446182487,9
Llama-500M,32000,1280,320,256,32,320,256,32,3.077719989232719,0.00015388599946163594,13.121389975213996,10
Llama-500M,32000,1280,64,64,64,64,64,64,3.123680001590401,7.809200003976002e-05,12.928329468022556,11
Llama-500M,32000,1280,64,256,32,64,256,32,3.347239998402074,0.0001673619999201037,12.064854695962245,12
Llama-500M,32000,1280,64,128,64,64,128,64,3.483039978891611,0.00017415199894458056,11.594458995008461,13
Llama-500M,1280,3456,128,64,64,128,64,64,0.9210585627704859,0.00021320800064131618,11.51960014093804,9
Llama-500M,3456,1280,192,256,32,192,256,32,0.46211040210910137,0.00021394000097643584,10.980159238776519,7
Llama-500M,3456,1280,192,128,64,192,128,64,0.4626979202963412,0.000214212000137195,10.966217003532757,8
Llama-500M,1280,1280,64,128,64,64,128,64,0.10059999930672348,0.00012574999913340435,10.356645482172688,4
Llama-500M,32000,1280,160,128,32,160,128,32,3.9268000284209847,9.817000071052462e-05,10.284191688129537,14
Llama-500M,1280,1280,32,256,32,32,256,32,0.10192959895357491,0.00012741199869196863,10.221550354584341,5
Llama-500M,1280,3456,320,128,32,320,128,32,1.0440144073683768,0.0002416700017056428,10.162911809088948,10
Llama-500M,1280,3456,320,64,32,320,64,32,1.062512648664415,0.0001229760010028258,9.985976508458698,11
Llama-500M,1280,3456,64,128,64,64,128,64,1.0625558389350773,0.0004919239995069802,9.98557060317596,12
Llama-500M,3456,1280,128,128,64,128,128,64,0.5111337550682947,0.0002366359977168031,9.927041113485094,9
Llama-500M,1280,1280,320,256,64,320,256,64,0.11448879935778679,0.00028622199839446695,9.100266001310734,6
Llama-500M,32000,1280,128,128,32,128,128,32,4.462880024220794,0.00011157200060551986,9.048857238837568,15
Llama-500M,1280,3456,64,32,64,64,32,64,1.2348633558489384,0.00014292399951955305,8.592227066458545,13
Llama-500M,3456,1280,64,256,64,64,256,64,0.6053205596865154,0.0005604819997097366,8.382411137134905,10
Llama-500M,32000,1280,320,64,64,320,64,64,5.020159925334156,0.0001255039981333539,8.044358110871508,16
Llama-500M,1280,1280,128,256,64,128,256,64,0.13268479972612113,0.0003317119993153028,7.852282480563921,7
Llama-500M,32000,1280,32,128,32,32,128,32,5.199280008673668,0.00012998200021684168,7.767222412692452,17
Llama-500M,32000,1280,256,256,32,256,256,32,5.2526399900671095,0.00026263199950335545,7.688317548813766,18
Llama-500M,3456,1280,192,64,64,192,64,64,0.6603120050858705,0.00015285000117728486,7.684315538671942,11
Llama-500M,1280,3456,256,64,32,256,64,32,1.3846463947556913,0.00016025999939301984,7.662769635402228,14
Llama-500M,1280,1280,256,128,64,256,128,64,0.1372816008515656,0.000171602001064457,7.589352993144904,8
