model_name,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-1B,2048,2048,128,192,32,128,192,32,0.03654041640460491,1.297600014368072e-05,44.54043095995644,1
Llama-1B,5632,2048,64,192,32,64,192,32,0.09957235291600229,1.2858000118285418e-05,44.54043095995644,1
Llama-1B,2048,5632,512,192,32,512,192,32,0.11848704367876053,1.542800047900528e-05,44.54043095995644,1
Llama-1B,32000,2048,64,192,32,64,192,32,0.6722319836262612,1.5277999627869575e-05,44.54043095995644,1
Llama-1B,2048,2048,512,192,32,512,192,32,0.03678259342908859,1.3062000507488846e-05,44.2471762426158,2
Llama-1B,5632,2048,128,192,32,128,192,32,0.10050164449959993,1.297800161410123e-05,44.1285864789334,2
Llama-1B,32000,2048,32,192,32,32,192,32,0.6786559941247106,1.5423999866470694e-05,44.118820897466314,2
Llama-1B,2048,2048,64,192,32,64,192,32,0.03727257624268532,1.3236000086180866e-05,43.66550580030711,3
Llama-1B,5632,2048,32,192,32,32,192,32,0.1016942092962563,1.313200016738847e-05,43.61109193204459,3
Llama-1B,2048,5632,256,192,32,256,192,32,0.12137472108006478,1.5804000140633436e-05,43.48075070048482,2
Llama-1B,2048,2048,256,192,32,256,192,32,0.03744716547429562,1.3297999103087932e-05,43.46192491483839,4
Llama-1B,32000,2048,320,192,32,320,192,32,0.6965199764817953,1.582999946549535e-05,42.98728430879775,3
Llama-1B,32000,2048,256,192,32,256,192,32,0.7009199715685099,1.592999935382977e-05,42.71743347357807,4
Llama-1B,2048,5632,64,192,32,64,192,32,0.12369407191872597,1.6105998947750778e-05,42.66545604619411,3
Llama-1B,2048,5632,128,192,32,128,192,32,0.12507648020982742,1.6286000027321278e-05,42.19389592487525,4
Llama-1B,2048,5632,32,192,32,32,192,32,0.12530687749385833,1.631599967367947e-05,42.116315514141206,5
Llama-1B,2048,2048,32,192,32,32,192,32,0.03874816328287124,1.3760001165792345e-05,42.00265912569895,5
Llama-1B,32000,2048,160,192,32,160,192,32,0.7251200021710247,1.648000004934147e-05,41.29178917439122,5
Llama-1B,32000,2048,128,192,32,128,192,32,0.7822319504339248,1.777799887349829e-05,38.27701264205676,6
Llama-1B,5632,2048,256,192,32,256,192,32,0.12060505479574204,1.5573999844491483e-05,36.772882513811474,4
Llama-1B,5632,2048,512,192,32,512,192,32,0.1337233847565949,1.7267999064642937e-05,33.165444612759806,5
Llama-1B,5632,2048,256,96,32,256,96,32,0.16674381103366614,1.0766000195872039e-05,26.597661904705873,6
Llama-1B,2048,2048,512,96,32,512,96,32,0.061794300824403764,1.0971999436151237e-05,26.33779931813102,6
Llama-1B,2048,2048,64,96,32,64,96,32,0.061929471492767334,1.0995999909937382e-05,26.280312989711874,7
Llama-1B,5632,2048,32,96,32,32,96,32,0.17021312691271304,1.099000044632703e-05,26.055543370928884,7
Llama-1B,5632,2048,64,96,32,64,96,32,0.17210265927016735,1.1112000211142003e-05,25.769476946974688,8
Llama-1B,5632,2048,128,96,32,128,96,32,0.17327973820269107,1.1187999625690281e-05,25.594426426174856,9
Llama-1B,2048,5632,512,96,32,512,96,32,0.20674355693161486,1.3688000326510518e-05,25.52661890386658,6
Llama-1B,2048,2048,128,96,32,128,96,32,0.06418227061629296,1.139599975431338e-05,25.357873420330662,8
Llama-1B,2048,5632,256,96,32,256,96,32,0.2092205922305584,1.385199895594269e-05,25.224400391752447,7
Llama-1B,32000,2048,32,96,32,32,96,32,1.1899360455572605,1.3522000517696143e-05,25.16227856746546,7
Llama-1B,32000,2048,320,96,32,320,96,32,1.1932799685746431,1.3559999642893671e-05,25.091766428916745,8
Llama-1B,2048,5632,128,96,32,128,96,32,0.21079142898321152,1.395600032992661e-05,25.036425883537706,8
Llama-1B,32000,2048,256,96,32,256,96,32,1.2092959880828857,1.3741999864578248e-05,24.759448928005416,9
Llama-1B,2048,5632,64,96,32,64,96,32,0.21338931478559972,1.4128000184427947e-05,24.731622545981946,9
Llama-1B,2048,2048,256,96,32,256,96,32,0.0659281924366951,1.1706000077538192e-05,24.686341820764028,9
Llama-1B,2048,2048,32,96,32,32,96,32,0.06606335654854775,1.172999938717112e-05,24.635834131760326,10
Llama-1B,2048,5632,32,96,32,32,96,32,0.21574553474783897,1.428399991709739e-05,24.46152127686637,10
Llama-1B,32000,2048,160,96,32,160,96,32,1.2297120923176408,1.39740010490641e-05,24.34838401836746,10
Llama-1B,32000,2048,64,96,32,64,96,32,1.3492161314934494,1.5332001494243743e-05,22.191776066772757,11
Llama-1B,32000,2048,128,96,32,128,96,32,1.539823969360441,1.749799965182319e-05,19.444756577088565,12
Llama-1B,5632,2048,512,96,32,512,96,32,0.3037816282361746,1.9613999756984413e-05,14.599288101542585,10
