model_name,arch,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-500M,tl1,1280,1280,320,256,64,320,256,64,0.005133599988766946,1.2833999971917364e-05,24933.7697288613,1
Llama-500M,tl1,1280,1280,256,256,64,256,256,64,0.005140799994478584,1.2851999986196461e-05,24898.84845500251,2
Llama-500M,tl1,1280,1280,64,256,64,64,256,64,0.005995199990138644,1.4987999975346611e-05,21350.41369938351,3
Llama-500M,tl1,1280,1280,128,256,64,128,256,64,0.006050239990145201,1.5125599975363003e-05,21156.185574206967,4
Llama-500M,tl1,1280,1280,256,128,64,256,128,64,0.0067998399754287675,8.49979996928596e-06,18823.97239678113,5
Llama-500M,tl1,1280,1280,256,256,32,256,256,32,0.006820800008426886,8.526000010533608e-06,18766.12711732641,6
Llama-500M,tl1,1280,1280,160,256,32,160,256,32,0.006833599982201122,8.541999977751403e-06,18730.976400929285,7
Llama-500M,tl1,1280,1280,320,256,32,320,256,32,0.006839999987278134,8.549999984097667e-06,18713.45032720322,8
Llama-500M,tl1,1280,1280,64,128,64,64,128,64,0.007437919994117692,9.297399992647115e-06,17209.11223853299,9
Llama-500M,tl1,1280,1280,320,128,64,320,128,64,0.007453440011886414,9.316800014858017e-06,17173.27835145534,10
Llama-500M,tl1,1280,1280,128,128,64,128,128,64,0.007620640008099144,9.52580001012393e-06,16796.489515836307,11
Llama-500M,tl1,1280,1280,32,256,32,32,256,32,0.007629920000908896,9.53740000113612e-06,16776.06055958022,12
Llama-500M,tl1,1280,1280,128,256,32,128,256,32,0.007795199999236502,9.743999999045628e-06,16420.361249555743,13
Llama-500M,tl1,1280,1280,64,256,32,64,256,32,0.008046880011534085,1.0058600014417608e-05,15906.786209876345,14
Llama-500M,tl1,1280,1280,64,128,32,64,128,32,0.010729920031735674,6.706200019834796e-06,11929.259455934147,15
Llama-500M,tl1,1280,1280,64,64,64,64,64,64,0.010868160024983808,6.79260001561488e-06,11777.522571047228,16
Llama-500M,tl1,1280,1280,256,64,64,256,64,64,0.010941760046989657,6.838600029368536e-06,11698.300771566994,17
Llama-500M,tl1,1280,1280,128,128,32,128,128,32,0.010958400016534142,6.849000010333839e-06,11680.537287092307,18
Llama-500M,tl1,1280,1280,160,128,32,160,128,32,0.010970559960696846,6.856599975435529e-06,11667.590392703116,19
Llama-500M,tl1,1280,1280,320,64,64,320,64,64,0.011009600057150237,6.881000035718898e-06,11626.217059253646,20
Llama-500M,tl1,1280,1280,256,128,32,256,128,32,0.01106719999370398,6.916999996064987e-06,11565.707683318087,21
Llama-500M,tl1,1280,1280,128,64,64,128,64,64,0.01108863994886633,6.930399968041456e-06,11543.345314687249,22
Llama-500M,tl1,1280,1280,32,128,32,32,128,32,0.011233280019951053,7.020800012469408e-06,11394.71283299833,23
Llama-500M,tl1,1280,1280,320,128,32,320,128,32,0.014606400036427658,9.129000022767287e-06,8763.281827197266,24
Llama-500M,tl1,1280,1280,256,64,32,256,64,32,0.01864000005298294,5.825000016557169e-06,6866.952770180721,25
Llama-500M,tl1,1280,1280,160,64,32,160,64,32,0.01891583997348789,5.911199991714966e-06,6766.815546092722,26
Llama-500M,tl1,1280,1280,128,64,32,128,64,32,0.018967040086863562,5.927200027144863e-06,6748.549031045276,27
Llama-500M,tl1,1280,1280,320,64,32,320,64,32,0.018986239956575446,5.933199986429827e-06,6741.724548554974,28
Llama-500M,tl1,1280,1280,64,64,32,64,64,32,0.01902336000057403,5.944800000179384e-06,6728.569505919963,29
Llama-500M,tl1,1280,1280,256,32,64,256,32,64,0.019119359931210056,5.974799978503142e-06,6694.784786757186,30
Llama-500M,tl1,1280,1280,128,32,64,128,32,64,0.019164799887221307,5.988999964756658e-06,6678.9113767552435,31
Llama-500M,tl1,1280,1280,320,32,64,320,32,64,0.019164800105500035,5.989000032968761e-06,6678.911300685351,32
Llama-500M,tl1,1280,1280,64,32,64,64,32,64,0.019261440029367805,6.019200009177439e-06,6645.401372111283,33
Llama-500M,tl1,1280,1280,32,64,32,32,64,32,0.019472000130917877,6.085000040911836e-06,6573.541451284198,34
Llama-500M,tl1,1280,1280,128,32,32,128,32,32,0.03503359999740496,5.473999999594526e-06,3653.6353674609895,35
Llama-500M,tl1,1280,1280,256,32,32,256,32,32,0.03513728006510064,5.490200010171975e-06,3642.8545340688815,36
Llama-500M,tl1,1280,1280,64,32,32,64,32,32,0.0353843200718984,5.5288000112341255e-06,3617.4214946030665,37
Llama-500M,tl1,1280,1280,320,32,32,320,32,32,0.0357388801057823,5.584200016528484e-06,3581.533602092095,38
Llama-500M,tl1,1280,1280,160,32,32,160,32,32,0.03582847988582216,5.5981999821597125e-06,3572.5769111028185,39
Llama-500M,tl1,1280,1280,32,32,32,32,32,32,0.040328960021724924,6.30140000339452e-06,3173.897862256981,40
Llama-500M,tl1,1280,3456,128,128,64,128,128,64,0.01779710403752688,8.239400017373555e-06,7192.181364456817,1
Llama-500M,tl1,1280,3456,64,128,64,64,128,64,0.01782734406151576,8.253400028479519e-06,7179.981468822164,2
Llama-500M,tl1,1280,3456,320,128,64,320,128,64,0.0183599999290891,8.49999996717088e-06,6971.677586839212,3
Llama-500M,tl1,1280,3456,256,128,64,256,128,64,0.01840319996335893,8.519999983036542e-06,6955.312133479508,4
Llama-500M,tl1,1280,3456,128,64,64,128,64,64,0.029706912060646573,6.876600014038558e-06,4308.7615346451485,5
Llama-500M,tl1,1280,3456,32,128,32,32,128,32,0.029707775953284,6.876799989186111e-06,4308.636237235741,6
Llama-500M,tl1,1280,3456,64,128,32,64,128,32,0.029743199971562717,6.8849999934172955e-06,4303.504670727426,7
Llama-500M,tl1,1280,3456,128,128,32,128,128,32,0.029784671925881412,6.894599982842919e-06,4297.512503025904,8
Llama-500M,tl1,1280,3456,320,64,64,320,64,64,0.029837375957868062,6.906799990247237e-06,4289.9214790450305,9
Llama-500M,tl1,1280,3456,320,128,32,320,128,32,0.029846016062947456,6.9088000145711705e-06,4288.679592279202,10
Llama-500M,tl1,1280,3456,160,128,32,160,128,32,0.029881439983000746,6.916999996064987e-06,4283.595438265958,11
Llama-500M,tl1,1280,3456,256,128,32,256,128,32,0.030019679994438775,6.948999998712679e-06,4263.869569019801,12
Llama-500M,tl1,1280,3456,64,64,64,64,64,64,0.04051728007107158,9.379000016451754e-06,3159.1459193577284,13
Llama-500M,tl1,1280,3456,128,64,32,128,64,32,0.05024160027096514,5.815000031361706e-06,2547.689550286316,14
Llama-500M,tl1,1280,3456,320,64,32,320,64,32,0.050445504079107195,5.838600009155925e-06,2537.3916335393155,15
Llama-500M,tl1,1280,3456,256,64,32,256,64,32,0.050656319814152084,5.862999978489825e-06,2526.831804394919,16
Llama-500M,tl1,1280,3456,64,32,64,64,32,64,0.050825663791329134,5.88259997584828e-06,2518.412755522867,17
Llama-500M,tl1,1280,3456,160,64,32,160,64,32,0.050880959795904346,5.888999976377818e-06,2515.675814950003,18
Llama-500M,tl1,1280,3456,64,64,32,64,64,32,0.05091379203804536,5.892800004403398e-06,2514.0535575184017,19
Llama-500M,tl1,1280,3456,128,32,64,128,32,64,0.05096217591926688,5.898399990655889e-06,2511.6666957622588,20
Llama-500M,tl1,1280,3456,256,32,64,256,32,64,0.050965632079169154,5.898800009163097e-06,2511.496370753667,21
Llama-500M,tl1,1280,3456,32,64,32,32,64,32,0.05122656007006299,5.929000008109142e-06,2498.703793987598,22
Llama-500M,tl1,1280,3456,320,32,64,320,32,64,0.051259392115753144,5.932800013397354e-06,2497.1033544633624,23
Llama-500M,tl1,1280,3456,256,64,64,256,64,64,0.05381424010920455,1.245700002527883e-05,2378.5525864576225,24
Llama-500M,tl1,1280,3456,64,32,32,64,32,32,0.0933845761755947,5.4042000101617305e-06,1370.6760285479752,25
Llama-500M,tl1,1280,3456,160,32,32,160,32,32,0.09345024026697502,5.408000015449943e-06,1369.7129042613574,26
Llama-500M,tl1,1280,3456,256,32,32,256,32,32,0.09349171222129371,5.410400012806349e-06,1369.1053138167542,27
Llama-500M,tl1,1280,3456,128,32,32,128,32,32,0.094003199134022,5.4399999498855324e-06,1361.6557859643497,28
Llama-500M,tl1,1280,3456,320,32,32,320,32,32,0.09400319991982542,5.439999995360267e-06,1361.6557745818247,29
