model_name,arch,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-300M,tl1,1024,1024,512,256,64,512,256,64,0.0030997503956314175,1.2108399982935224e-05,41293.647443482776,1
Llama-300M,tl1,1024,1024,64,256,64,64,256,64,0.0031099903979338707,1.2148399991929183e-05,41157.68334366469,2
Llama-300M,tl1,1024,1024,256,256,64,256,256,64,0.003114700806327164,1.2166800024715485e-05,41095.43996649129,3
Llama-300M,tl1,1024,1024,128,256,64,128,256,64,0.0041882624034769835,1.6360400013581967e-05,30561.59993550973,4
Llama-300M,tl1,1024,1024,128,128,64,128,128,64,0.0043816960067488255,8.5580000131813e-06,29212.432766410628,5
Llama-300M,tl1,1024,1024,256,256,32,256,256,32,0.004421324806753546,8.63540001319052e-06,28950.598654159225,6
Llama-300M,tl1,1024,1024,256,128,64,256,128,64,0.004421631991863251,8.635999984107912e-06,28948.58736221092,7
Llama-300M,tl1,1024,1024,512,128,64,512,128,64,0.004426649597007781,8.645799994155823e-06,28915.774152650873,8
Llama-300M,tl1,1024,1024,512,256,32,512,256,32,0.004437094402965159,8.666200005791325e-06,28847.70716495506,9
Llama-300M,tl1,1024,1024,128,256,32,128,256,32,0.00443811840377748,8.66820000737789e-06,28841.051174086188,10
Llama-300M,tl1,1024,1024,32,256,32,32,256,32,0.004559974395669996,8.906199991542962e-06,28070.333053085702,11
Llama-300M,tl1,1024,1024,64,256,32,64,256,32,0.004656332801096142,9.094400002140902e-06,27489.444047012206,12
Llama-300M,tl1,1024,1024,64,128,32,64,128,32,0.006696960004046559,6.540000003951718e-06,19113.149835545904,13
Llama-300M,tl1,1024,1024,32,128,32,32,128,32,0.006699008005671203,6.5420000055382845e-06,19107.30661788112,14
Llama-300M,tl1,1024,1024,64,64,64,64,64,64,0.006882099201902747,6.7208000018581515e-06,18598.976307201567,15
Llama-300M,tl1,1024,1024,128,64,64,128,64,64,0.006943334336392581,6.78059993788338e-06,18434.946928755064,16
Llama-300M,tl1,1024,1024,256,64,64,256,64,64,0.006963814422488212,6.800600021961145e-06,18380.731052603904,17
Llama-300M,tl1,1024,1024,512,64,64,512,64,64,0.006969753559678793,6.806399960623822e-06,18365.068277378086,18
Llama-300M,tl1,1024,1024,256,128,32,256,128,32,0.007078707218170166,6.912800017744303e-06,18082.397824201547,19
Llama-300M,tl1,1024,1024,128,128,32,128,128,32,0.0071075840154662725,6.941000015103782e-06,18008.932391297654,20
Llama-300M,tl1,1024,1024,512,128,32,512,128,32,0.0071651327656581994,6.997199966463085e-06,17864.288658193724,21
Llama-300M,tl1,1024,1024,64,128,64,64,128,64,0.007742668793071061,1.5122399986466917e-05,16531.767459115337,22
Llama-300M,tl1,1024,1024,256,64,32,256,64,32,0.012126208003610372,5.921000001762877e-06,10555.64938040731,23
Llama-300M,tl1,1024,1024,512,64,32,512,64,32,0.01216716798953712,5.940999994891172e-06,10520.114467891846,24
Llama-300M,tl1,1024,1024,512,32,64,512,32,64,0.012167577678337694,5.941200038250827e-06,10519.760250052257,25
Llama-300M,tl1,1024,1024,128,64,32,128,64,32,0.012204441661015152,5.959200029792555e-06,10487.984911990894,26
Llama-300M,tl1,1024,1024,64,32,64,64,32,64,0.012216729624196888,5.965200011814887e-06,10477.435773521473,27
Llama-300M,tl1,1024,1024,64,64,32,64,64,32,0.012254003249108792,5.983400023978902e-06,10445.566024254904,28
