model_name,arch,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-700M,tl2,1536,1536,512,192,32,512,192,32,0.012597043218556793,8.201200012081245e-06,10161.114618662441,1
Llama-700M,tl2,1536,1536,192,192,32,192,192,32,0.012830822425894438,8.353400016858358e-06,9975.977825215448,2
Llama-700M,tl2,1536,1536,256,192,32,256,192,32,0.012857856019400059,8.371000012630247e-06,9955.003369680944,3
Llama-700M,tl2,1536,1536,64,192,32,64,192,32,0.012867686350364239,8.377399967685051e-06,9947.398196908705,4
Llama-700M,tl2,1536,1536,32,192,32,32,192,32,0.012987801607232542,8.455600004708686e-06,9855.401542992495,5
Llama-700M,tl2,1536,1536,128,192,32,128,192,32,0.013757337571587413,8.956599981502222e-06,9304.125840769822,6
Llama-700M,tl2,1536,1536,384,192,32,384,192,32,0.01378805759595707,8.976599997367884e-06,9283.39609181297,7
Llama-700M,tl2,1536,1536,256,96,32,256,96,32,0.01879265278112143,6.117399993854633e-06,6811.172509321578,8
Llama-700M,tl2,1536,1536,64,96,32,64,96,32,0.018859622371383014,6.139199990684574e-06,6786.986371170565,9
Llama-700M,tl2,1536,1536,512,96,32,512,96,32,0.018860236764885484,6.139399988569494e-06,6786.765277428223,10
Llama-700M,tl2,1536,1536,192,96,32,192,96,32,0.01888972786255181,6.14899995525775e-06,6776.169616172993,11
Llama-700M,tl2,1536,1536,128,96,32,128,96,32,0.018945638369768855,6.167199990159133e-06,6756.172449921077,12
Llama-700M,tl2,1536,1536,384,96,32,384,96,32,0.019408281426876783,6.317799943644786e-06,6595.122833634528,13
Llama-700M,tl2,1536,1536,32,96,32,32,96,32,0.021150719840079546,6.8849999479425605e-06,6051.803483181999,14
Llama-700M,tl2,1536,4096,192,192,32,192,192,32,0.03277908486197703,7.760200014672592e-06,3904.929028341392,1
Llama-700M,tl2,1536,4096,384,192,32,384,192,32,0.03278837775578722,7.762400036881445e-06,3903.8222919524505,2
Llama-700M,tl2,1536,4096,128,192,32,128,192,32,0.03288046094239689,7.784200033711385e-06,3892.8894647870825,3
Llama-700M,tl2,1536,4096,64,192,32,64,192,32,0.032922700879862536,7.79420001890685e-06,3887.894874332511,4
Llama-700M,tl2,1536,4096,32,192,32,32,192,32,0.03294804480392485,7.80020000092918e-06,3884.9042716110525,5
Llama-700M,tl2,1536,4096,256,192,32,256,192,32,0.043375411187298596,1.0268799996993039e-05,2950.9806707603407,6
Llama-700M,tl2,1536,4096,512,192,32,512,192,32,0.048920678521972155,1.1581600028875983e-05,2616.480471392282,7
Llama-700M,tl2,1536,4096,192,96,32,192,96,32,0.05220764175464865,6.323600018731668e-06,2451.748359014946,8
Llama-700M,tl2,1536,4096,256,96,32,256,96,32,0.05240908752602991,6.347999942590832e-06,2442.3245288601242,9
Llama-700M,tl2,1536,4096,512,96,32,512,96,32,0.052504857614985675,6.359600001815125e-06,2437.8696717666535,10
Llama-700M,tl2,1536,4096,384,96,32,384,96,32,0.05253953301144065,6.363800025610544e-06,2436.2607100471864,11
Llama-700M,tl2,1536,4096,64,96,32,64,96,32,0.052640256084851,6.376000010277494e-06,2431.599112923698,12
Llama-700M,tl2,1536,4096,128,96,32,128,96,32,0.05267162892851047,6.379800015565706e-06,2430.1507776364833,13
Llama-700M,tl2,1536,4096,32,96,32,32,96,32,0.053348620714677955,6.461799989665451e-06,2399.3122649707607,14
Llama-700M,tl2,4096,1536,512,192,32,512,192,32,0.03374858237802982,8.239399994636187e-06,3792.751901879216,1
Llama-700M,tl2,4096,1536,64,192,32,64,192,32,0.0337567743845284,8.241399996222754e-06,3791.831486679773,2
Llama-700M,tl2,4096,1536,128,192,32,128,192,32,0.033796095941215756,8.250999985648378e-06,3787.419713289979,3
Llama-700M,tl2,4096,1536,32,192,32,32,192,32,0.03382968325167894,8.259200012616929e-06,3783.6594285477818,4
