model_name,arch,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-120M,tl2,768,768,192,192,32,192,192,32,0.0029292288090800866,7.628200023646059e-06,43697.50823261838,1
Llama-120M,tl2,768,768,128,192,32,128,192,32,0.002947660797508434,7.676199993511546e-06,43424.26377831344,2
Llama-120M,tl2,768,768,64,192,32,64,192,32,0.002949964808067307,7.682200021008612e-06,43390.348132274914,3
Llama-120M,tl2,768,768,32,192,32,32,192,32,0.002986137592233717,7.776399979775305e-06,42864.73615043716,4
Llama-120M,tl2,768,768,384,192,32,384,192,32,0.0030160895985318348,7.854399996176653e-06,42439.05753406913,5
Llama-120M,tl2,768,768,256,96,32,256,96,32,0.0048854016233235605,6.361200030369219e-06,26200.507116735476,6
Llama-120M,tl2,768,768,192,96,32,192,96,32,0.004907519998960197,6.38999999864609e-06,26082.420454143965,7
Llama-120M,tl2,768,768,128,96,32,128,96,32,0.004913664021296426,6.398000027729722e-06,26049.807118523408,8
Llama-120M,tl2,768,768,64,96,32,64,96,32,0.004945919994497672,6.43999999283551e-06,25879.91721305638,9
Llama-120M,tl2,768,768,384,96,32,384,96,32,0.004946073627797887,6.440200036195165e-06,25879.11333964285,10
Llama-120M,tl2,768,768,32,96,32,32,96,32,0.005379686382366345,7.004799977039511e-06,23793.208544565205,11
Llama-120M,tl2,768,768,256,192,32,256,192,32,0.005793715204345063,1.5087800011315267e-05,22092.90506789235,12
Llama-120M,tl2,768,2048,192,192,32,192,192,32,0.008216102430014872,7.780400028423174e-06,15579.163123915472,1
Llama-120M,tl2,768,2048,128,192,32,128,192,32,0.008237222422758352,7.800400021551468e-06,15539.21861407469,2
Llama-120M,tl2,768,2048,384,192,32,384,192,32,0.008273548774741358,7.834799976080831e-06,15470.991165335996,3
Llama-120M,tl2,768,2048,32,192,32,32,192,32,0.00830691843002569,7.866400028433419e-06,15408.842771025518,4
Llama-120M,tl2,768,2048,64,192,32,64,192,32,0.008307129603781506,7.866600003580971e-06,15408.451066145983,5
Llama-120M,tl2,768,2048,256,192,32,256,192,32,0.008317689588147915,7.876599988776434e-06,15388.888782576163,6
Llama-120M,tl2,768,2048,64,96,32,64,96,32,0.0134407680016011,6.3640000007580966e-06,9523.265336084389,7
Llama-120M,tl2,768,2048,128,96,32,128,96,32,0.01349905930546811,6.3916000499375515e-06,9482.142207357412,8
Llama-120M,tl2,768,2048,256,96,32,256,96,32,0.013511308871966318,6.397400034074962e-06,9473.545547136322,9
Llama-120M,tl2,768,2048,192,96,32,192,96,32,0.013542143985978326,6.4119999933609504e-06,9451.974527263372,10
Llama-120M,tl2,768,2048,32,96,32,32,96,32,0.0136726655982784,6.473799999184848e-06,9361.744356280986,11
Llama-120M,tl2,768,2048,384,96,32,384,96,32,0.01885340165026719,8.926800023800752e-06,6789.225752170086,12
Llama-120M,tl2,2048,768,128,192,32,128,192,32,0.007965081604197621,7.77840000409924e-06,16070.14295152276,1
Llama-120M,tl2,2048,768,64,192,32,64,192,32,0.008028979226946831,7.840800026315265e-06,15942.250737230313,2
Llama-120M,tl2,2048,768,256,192,32,256,192,32,0.008033075206913053,7.844800006751029e-06,15934.12195243069,3
Llama-120M,tl2,2048,768,32,192,32,32,192,32,0.008075878419913352,7.886600019446633e-06,15849.669019828229,4
Llama-120M,tl2,2048,768,512,192,32,512,192,32,0.008240128005854785,8.047000005717563e-06,15533.739270682847,5
Llama-120M,tl2,2048,768,128,96,32,128,96,32,0.012978995218873024,6.337400009215344e-06,9862.088539324875,6
Llama-120M,tl2,2048,768,64,96,32,64,96,32,0.012992102466523648,6.34380003248225e-06,9852.13904599457,7
Llama-120M,tl2,2048,768,512,96,32,512,96,32,0.013012991985306144,6.3539999928252655e-06,9836.32358680721,8
Llama-120M,tl2,2048,768,256,96,32,256,96,32,0.013041664008051157,6.368000003931229e-06,9814.698486403293,9
Llama-120M,tl2,2048,768,32,96,32,32,96,32,0.013221888011321426,6.45600000552804e-06,9680.91696816659,10
Llama-120M,tl2,32000,768,256,192,32,256,192,32,0.12522559954959434,7.826599971849647e-06,1022.1552179457276,1
Llama-120M,tl2,32000,768,128,192,32,128,192,32,0.12541120013338514,7.838200008336572e-06,1020.6424933647191,2
Llama-120M,tl2,32000,768,64,192,32,64,192,32,0.12551039944810327,7.844399965506454e-06,1019.8358109196055,3
Llama-120M,tl2,32000,768,320,192,32,320,192,32,0.12560319992189764,7.850199995118601e-06,1019.0823170077891,4
Llama-120M,tl2,32000,768,160,192,32,160,192,32,0.12573759995575526,7.858599997234705e-06,1017.9930271059798,5
Llama-120M,tl2,32000,768,32,192,32,32,192,32,0.1264448004803853,7.902800030024082e-06,1012.299434327914,6
Llama-120M,tl2,32000,768,160,96,32,160,96,32,0.2024319997872226,6.325999993350706e-06,632.3110977243791,7
Llama-120M,tl2,32000,768,256,96,32,256,96,32,0.2042239997535944,6.381999992299825e-06,626.7627710476627,8
Llama-120M,tl2,32000,768,128,96,32,128,96,32,0.20453760007512756,6.391800002347736e-06,625.801808337367,9
Llama-120M,tl2,32000,768,32,96,32,32,96,32,0.20504319909377955,6.407599971680611e-06,624.2586955613061,10
Llama-120M,tl2,32000,768,64,96,32,64,96,32,0.2064511994831264,6.4515999838477e-06,620.0012415547222,11
Llama-120M,tl2,32000,768,320,96,32,320,96,32,0.285254400660051,8.914200020626594e-06,448.7222623167966,12
