model_name,arch,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-80M,tl1,512,512,512,256,64,512,256,64,0.0007636479989741929,1.1931999983971764e-05,167616.49368811573,1
Llama-80M,tl1,512,512,256,256,64,256,256,64,0.0007722368012764491,1.2066200019944517e-05,165752.26638827063,2
Llama-80M,tl1,512,512,128,256,64,128,256,64,0.0007814655982656404,1.2210399972900632e-05,163794.79824074032,3
Llama-80M,tl1,512,512,64,256,64,64,256,64,0.0009956479974789546,1.5556999960608665e-05,128559.491229937,4
Llama-80M,tl1,512,512,128,128,64,128,128,64,0.001095168004394509,8.556000034332101e-06,116877.04487930873,5
Llama-80M,tl1,512,512,64,256,32,64,256,32,0.001100825596950017,8.600199976172007e-06,116276.36598807381,6
Llama-80M,tl1,512,512,512,256,32,512,256,32,0.001101542398100719,8.605799985161866e-06,116200.70205259262,7
Llama-80M,tl1,512,512,256,128,64,256,128,64,0.0011020544014172628,8.609800011072366e-06,116146.71638295676,8
Llama-80M,tl1,512,512,512,128,64,512,128,64,0.0011020800069672988,8.610000054432022e-06,116144.01784878586,9
Llama-80M,tl1,512,512,128,256,32,128,256,32,0.0011021056008758024,8.610200006842206e-06,116141.32066680648,10
Llama-80M,tl1,512,512,256,256,32,256,256,32,0.0011048960004700348,8.632000003672147e-06,115848.00736498948,11
Llama-80M,tl1,512,512,32,256,32,32,256,32,0.0011254016018938274,8.792200014795526e-06,113737.17594199389,12
Llama-80M,tl1,512,512,64,128,64,64,128,64,0.0011677184025757014,9.122800020122667e-06,109615.46869319117,13
Llama-80M,tl1,512,512,256,64,64,256,64,64,0.0017317887977696955,6.764799991287873e-06,73912.01523236916,14
Llama-80M,tl1,512,512,128,64,64,128,64,64,0.0017399808042682708,6.796800016672933e-06,73564.02995137003,15
Llama-80M,tl1,512,512,64,64,64,64,64,64,0.0017547776049468666,6.854600019323698e-06,72943.71642261514,16
Llama-80M,tl1,512,512,64,128,32,64,128,32,0.001756876800209284,6.862800000817515e-06,72856.55999598395,17
Llama-80M,tl1,512,512,128,128,32,128,128,32,0.0017578495957423002,6.86659998336836e-06,72816.24111074673,18
Llama-80M,tl1,512,512,512,128,32,512,128,32,0.001769215991953388,6.9109999685679215e-06,72348.43036811771,19
Llama-80M,tl1,512,512,256,128,32,256,128,32,0.0017696768045425415,6.912800017744303e-06,72329.59129680619,20
Llama-80M,tl1,512,512,32,128,32,32,128,32,0.0017876479949336499,6.98299998020957e-06,71602.4633276591,21
Llama-80M,tl1,512,512,512,64,64,512,64,64,0.0023579647997394202,9.21079999898211e-06,54284.1012784183,22
Llama-80M,tl1,512,512,256,64,32,256,64,32,0.003002777602523565,5.864800004928838e-06,42627.19952767314,23
Llama-80M,tl1,512,512,128,64,32,128,64,32,0.0030077951960265636,5.874599992239382e-06,42556.08898142198,24
Llama-80M,tl1,512,512,128,32,64,128,32,64,0.0030100480071268976,5.879000013919722e-06,42524.23871544046,25
Llama-80M,tl1,512,512,64,64,32,64,64,32,0.0030118912109173834,5.8826000213230145e-06,42498.21492092101,26
Llama-80M,tl1,512,512,512,64,32,512,64,32,0.003015987202525139,5.890600004931912e-06,42440.4983856801,27
Llama-80M,tl1,512,512,256,32,64,256,32,64,0.0030295039992779492,5.916999998589745e-06,42251.1407908712,28
Llama-80M,tl1,512,512,512,32,64,512,32,64,0.0030480384128168227,5.953200025032857e-06,41994.221418525274,29
Llama-80M,tl1,512,512,64,32,64,64,32,64,0.003077734389808029,6.011199980093807e-06,41589.03394128948,30
Llama-80M,tl1,512,512,32,64,32,32,64,32,0.0030859264079481363,6.027200015523704e-06,41478.63010288327,31
Llama-80M,tl1,512,512,256,32,32,256,32,32,0.005554380803368985,5.424200003290025e-06,23044.872962682384,32
Llama-80M,tl1,512,512,64,32,32,64,32,32,0.005597184016369283,5.466000015985628e-06,22868.64245049952,33
Llama-80M,tl1,512,512,512,32,32,512,32,32,0.005599436769261956,5.468199969982379e-06,22859.441989354094,34
