model_name,arch,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-500M,tl2,1280,1280,128,192,32,128,192,32,0.008902432025934104,7.94860002315545e-06,14378.093494801986,1
Llama-500M,tl2,1280,1280,320,192,32,320,192,32,0.008911840028304143,7.957000025271555e-06,14362.914907972989,2
Llama-500M,tl2,1280,1280,256,192,32,256,192,32,0.00891632003185805,7.961000028444687e-06,14355.69826370694,3
Llama-500M,tl2,1280,1280,32,192,32,32,192,32,0.009194527992804069,8.209399993575062e-06,13921.32365034691,4
Llama-500M,tl2,1280,1280,64,192,32,64,192,32,0.009656864018324995,8.622200016361604e-06,13254.820587419008,5
Llama-500M,tl2,1280,1280,160,192,32,160,192,32,0.010444448042107979,9.32540003759641e-06,12255.314927505357,6
Llama-500M,tl2,1280,1280,128,96,32,128,96,32,0.013949823973234743,6.227599988051224e-06,9175.743023395215,7
Llama-500M,tl2,1280,1280,320,96,32,320,96,32,0.01446144006331451,6.456000028265407e-06,8851.124054008136,8
Llama-500M,tl2,1280,1280,256,96,32,256,96,32,0.014529087959090248,6.4861999817367176e-06,8809.912938817037,9
Llama-500M,tl2,1280,1280,160,96,32,160,96,32,0.014600767965021078,6.5181999843844094e-06,8766.662158226773,10
Llama-500M,tl2,1280,1280,32,96,32,32,96,32,0.015430464001838118,6.888600000820588e-06,8295.278741115775,11
Llama-500M,tl2,1280,1280,64,96,32,64,96,32,0.03175468797417125,1.4176199988469307e-05,4030.9008894722297,12
Llama-500M,tl2,1280,3456,32,192,32,32,192,32,0.021478464084793814,7.457800029442296e-06,5959.4577850015185,1
Llama-500M,tl2,1280,3456,128,192,32,128,192,32,0.021546431955357548,7.481399984499149e-06,5940.658771958419,2
Llama-500M,tl2,1280,3456,64,192,32,64,192,32,0.02165760002390016,7.520000008298666e-06,5910.16547811143,3
Llama-500M,tl2,1280,3456,320,192,32,320,192,32,0.022465727990493182,7.80059999669902e-06,5697.567425999538,4
Llama-500M,tl2,1280,3456,256,192,32,256,192,32,0.02252851198136341,7.822399993528961e-06,5681.689057221681,5
Llama-500M,tl2,1280,3456,160,192,32,160,192,32,0.02258150407578796,7.840800026315265e-06,5668.35581768189,6
Llama-500M,tl2,1280,3456,256,96,32,256,96,32,0.03677990401047282,6.385400001818198e-06,3480.161339288784,7
Llama-500M,tl2,1280,3456,128,96,32,128,96,32,0.03684096001961734,6.3960000034057884e-06,3474.393716446087,8
Llama-500M,tl2,1280,3456,320,96,32,320,96,32,0.03691008007444907,6.408000012925186e-06,3467.887356023585,9
Llama-500M,tl2,1280,3456,64,96,32,64,96,32,0.0369308159861248,6.411599997591111e-06,3465.940206901754,10
Llama-500M,tl2,1280,3456,160,96,32,160,96,32,0.03701145591912791,6.425599985959707e-06,3458.3886751087857,11
Llama-500M,tl2,1280,3456,32,96,32,32,96,32,0.03749875213543419,6.51020002351288e-06,3413.446920518917,12
Llama-500M,tl2,3456,1280,192,192,32,192,192,32,0.02254573428435833,7.455599961758707e-06,5677.348911576733,1
Llama-500M,tl2,3456,1280,128,192,32,128,192,32,0.022611657681045474,7.4774000268007516e-06,5660.796824608649,2
Llama-500M,tl2,3456,1280,384,192,32,384,192,32,0.02267334710995783,7.4977999702241505e-06,5645.394982013225,3
Llama-500M,tl2,3456,1280,64,192,32,64,192,32,0.0240057215836714,7.938399994600331e-06,5332.062173338923,4
Llama-500M,tl2,3456,1280,32,192,32,32,192,32,0.03486490563773259,1.1529400012477709e-05,3671.3135360237957,5
Llama-500M,tl2,3456,1280,384,96,32,384,96,32,0.03854995177753154,6.373999963216193e-06,3320.3673181921736,6
Llama-500M,tl2,3456,1280,128,96,32,128,96,32,0.03868300802059821,6.3960000034057884e-06,3308.9463966153207,7
Llama-500M,tl2,3456,1280,192,96,32,192,96,32,0.03876647050055908,6.409800016626832e-06,3301.8223827767356,8
Llama-500M,tl2,3456,1280,64,96,32,64,96,32,0.03977406709600473,6.576399982805015e-06,3218.1773035943183,9
Llama-500M,tl2,3456,1280,32,96,32,32,96,32,0.04004138903183047,6.620600038331758e-06,3196.69230001606,10
Llama-500M,tl2,32000,1280,128,192,32,128,192,32,0.2146031994925579,7.664399981877068e-06,596.4496349665972,1
Llama-500M,tl2,32000,1280,256,192,32,256,192,32,0.2187359997151361,7.81199998982629e-06,585.1803094447039,2
Llama-500M,tl2,32000,1280,320,192,32,320,192,32,0.21926800109213218,7.83100003900472e-06,583.7605093422495,3
Llama-500M,tl2,32000,1280,160,192,32,160,192,32,0.2206007990935177,7.878599967625633e-06,580.2336189441357,4
Llama-500M,tl2,32000,1280,32,192,32,32,192,32,0.2206008003668103,7.878600013100367e-06,580.2336155950674,5
Llama-500M,tl2,32000,1280,64,192,32,64,192,32,0.22216879970073933,7.934599989312118e-06,576.1385044723453,6
Llama-500M,tl2,32000,1280,64,96,32,64,96,32,0.3573807984139421,6.381799971677538e-06,358.1613801526682,7
Llama-500M,tl2,32000,1280,320,96,32,320,96,32,0.35840000164171215,6.400000029316289e-06,357.1428555069036,8
Llama-500M,tl2,32000,1280,128,96,32,128,96,32,0.3589375997762545,6.409599996004544e-06,356.6079454473129,9
Llama-500M,tl2,32000,1280,160,96,32,160,96,32,0.3591616012272425,6.4136000219150445e-06,356.38553665711623,10
Llama-500M,tl2,32000,1280,256,96,32,256,96,32,0.3610879999541794,6.4479999991817746e-06,354.48422549695,11
Llama-500M,tl2,32000,1280,32,96,32,32,96,32,0.3614352013755706,6.454200024563761e-06,354.14370131312705,12
