model_name,arch,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-80M,tl2,512,512,256,192,32,256,192,32,0.0014988671959144993,7.80659997872135e-06,85397.8260041269,1
Llama-80M,tl2,512,512,512,192,32,512,192,32,0.0015034368087071927,7.830400045349961e-06,85138.26404853514,2
Llama-80M,tl2,512,512,32,192,32,32,192,32,0.0015050112007884307,7.83860000410641e-06,85049.2009182022,3
Llama-80M,tl2,512,512,128,192,32,128,192,32,0.00150735360221006,7.850800011510728e-06,84917.03593126939,4
Llama-80M,tl2,512,512,256,96,32,256,96,32,0.0024335615948075425,6.337399986477976e-06,52597.80573177678,5
Llama-80M,tl2,512,512,128,96,32,128,96,32,0.002455219192779623,6.393799981196935e-06,52133.83814220171,6
Llama-80M,tl2,512,512,64,96,32,64,96,32,0.002460671996232122,6.407999990187818e-06,52018.31052492922,7
Llama-80M,tl2,512,512,512,96,32,512,96,32,0.002501375993597321,6.513999983326357e-06,51171.83515298653,8
Llama-80M,tl2,512,512,32,96,32,32,96,32,0.0026238720078254115,6.833000020378676e-06,48782.86731145955,9
Llama-80M,tl2,512,512,64,192,32,64,192,32,0.0031811711989576,1.6568599994570833e-05,40236.75306816018,10
Llama-80M,tl2,512,1408,512,192,32,512,192,32,0.004004044807516038,7.820400014679763e-06,31967.67422775333,1
Llama-80M,tl2,512,1408,64,192,32,64,192,32,0.004009267198853195,7.830599997760146e-06,31926.033774105388,2
Llama-80M,tl2,512,1408,128,192,32,128,192,32,0.004012339189648629,7.836599979782478e-06,31901.590057546782,3
Llama-80M,tl2,512,1408,256,192,32,256,192,32,0.004015411192085594,7.842599984542176e-06,31877.183649905888,4
Llama-80M,tl2,512,1408,32,192,32,32,192,32,0.004022579197771848,7.85659999564814e-06,31820.380334811223,5
Llama-80M,tl2,512,1408,256,96,32,256,96,32,0.006101375998696312,6.355599998641992e-06,20978.874278089057,6
Llama-80M,tl2,512,1408,64,96,32,64,96,32,0.006112511990068015,6.367199989654182e-06,20940.654220062435,7
Llama-80M,tl2,512,1408,128,96,32,128,96,32,0.006126719992607832,6.381999992299825e-06,20892.09236825542,8
Llama-80M,tl2,512,1408,512,96,32,512,96,32,0.0061286399941309355,6.383999993886391e-06,20885.547221337627,9
Llama-80M,tl2,512,1408,32,96,32,32,96,32,0.006142080026620533,6.398000027729722e-06,20839.845694818723,10
Llama-80M,tl2,1408,512,64,192,32,64,192,32,0.004157683206358342,7.874400012042315e-06,30786.37636562826,1
Llama-80M,tl2,1408,512,128,192,32,128,192,32,0.004158844806079288,7.876600011513802e-06,30777.77747630617,2
Llama-80M,tl2,1408,512,32,192,32,32,192,32,0.004160006393794901,7.878799988247919e-06,30769.18347792105,3
Llama-80M,tl2,1408,512,64,96,32,64,96,32,0.006716160021460382,6.360000020322331e-06,19058.509563649037,4
Llama-80M,tl2,1408,512,128,96,32,128,96,32,0.006752064001921098,6.394000001819222e-06,18957.166277390355,5
Llama-80M,tl2,1408,512,32,96,32,32,96,32,0.00679873923654668,6.438200034608599e-06,18827.02006159244,6
Llama-80M,tl2,32000,512,160,192,32,160,192,32,0.09334320002380991,7.77860000198416e-06,1371.2836068117426,1
Llama-80M,tl2,32000,512,256,192,32,256,192,32,0.09360720023323667,7.800600019436388e-06,1367.416178254113,2
Llama-80M,tl2,32000,512,32,192,32,32,192,32,0.0937752000936598,7.814600007804983e-06,1364.9664289935668,3
Llama-80M,tl2,32000,512,64,192,32,64,192,32,0.09389279994138633,7.824399995115528e-06,1363.256821395309,4
Llama-80M,tl2,32000,512,320,192,32,320,192,32,0.09413759953531553,7.844799961276295e-06,1359.711747822729,5
Llama-80M,tl2,32000,512,128,192,32,128,192,32,0.09591599982741172,7.992999985617644e-06,1334.5010241286045,6
Llama-80M,tl2,32000,512,160,96,32,160,96,32,0.15302399970096303,6.375999987540126e-06,836.4700978286771,7
Llama-80M,tl2,32000,512,320,96,32,320,96,32,0.15307200028473744,6.37800001186406e-06,836.207796082238,8
Llama-80M,tl2,32000,512,128,96,32,128,96,32,0.15315359996748157,6.381399998645065e-06,835.7622676004853,9
Llama-80M,tl2,32000,512,64,96,32,64,96,32,0.15335040006903,6.38960000287625e-06,834.689703726768,10
Llama-80M,tl2,32000,512,256,96,32,256,96,32,0.15374399972643005,6.405999988601252e-06,832.5528165506389,11
Llama-80M,tl2,32000,512,32,96,32,32,96,32,0.21773759963252814,9.072399984688673e-06,587.8635578605777,12
