model_name,arch,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-120M,tl1,768,768,64,64,32,64,64,32,0.006832742382539435,5.93119998484326e-06,18733.327386540208,30
Llama-120M,tl1,768,768,192,64,32,192,64,32,0.006832742382539435,5.93119998484326e-06,18733.327386540208,31
Llama-120M,tl1,768,768,384,64,32,384,64,32,0.006837350386194886,5.935199988016393e-06,18720.70213901008,32
Llama-120M,tl1,768,768,64,32,64,64,32,64,0.00685094402579125,5.947000022388238e-06,18683.556531498103,33
Llama-120M,tl1,768,768,384,32,64,384,32,64,0.006864768010564148,5.9590000091702676e-06,18645.932361155046,34
Llama-120M,tl1,768,768,32,64,32,32,64,32,0.006885734424577094,5.977200021334283e-06,18589.15724997068,35
Llama-120M,tl1,768,768,128,32,64,128,32,64,0.006892876775236799,5.983399978504167e-06,18569.895295364924,36
Llama-120M,tl1,768,768,192,32,64,192,32,64,0.006938956811791285,6.023400010235491e-06,18446.576837384426,37
Llama-120M,tl1,768,768,256,32,32,256,32,32,0.012427776062395424,5.394000027081347e-06,10299.509691626059,38
Llama-120M,tl1,768,768,192,32,32,192,32,32,0.01248307194910012,5.417999977908039e-06,10253.88626468882,39
Llama-120M,tl1,768,768,64,32,32,64,32,32,0.012557260855101048,5.450200023915386e-06,10193.305807452702,40
Llama-120M,tl1,768,768,384,32,32,384,32,32,0.012566937605151905,5.45440000223607e-06,10185.456793190848,41
Llama-120M,tl1,768,768,128,32,32,128,32,32,0.012616704055108131,5.476000023918459e-06,10145.280371237413,42
Llama-120M,tl1,768,768,32,32,32,32,32,32,0.014076057518832384,6.1093999647710005e-06,9093.455310817575,43
Llama-120M,tl1,768,768,256,64,32,256,64,32,0.014863104029791432,1.2902000025860617e-05,8611.929227127677,44
Llama-120M,tl1,768,2048,192,256,64,192,256,64,0.004647936002584174,1.210400000672962e-05,27539.105514541112,1
Llama-120M,tl1,768,2048,128,256,64,128,256,64,0.004665062404819764,1.2148600012551469e-05,27438.003801997438,2
Llama-120M,tl1,768,2048,384,256,64,384,256,64,0.004670361609896645,1.2162400025772513e-05,27406.871392734112,3
Llama-120M,tl1,768,2048,256,256,64,256,256,64,0.004671283182688057,1.2164799954916816e-05,27401.464435804828,4
Llama-120M,tl1,768,2048,64,256,64,64,256,64,0.004759756790008396,1.2395199973980198e-05,26892.130343444336,5
Llama-120M,tl1,768,2048,64,128,64,64,128,64,0.006597120012156666,8.590000015828992e-06,19402.40586257813,6
Llama-120M,tl1,768,2048,256,128,64,256,128,64,0.006598809611750766,8.592200015300477e-06,19397.43795184896,7
Llama-120M,tl1,768,2048,192,128,64,192,128,64,0.006612480006879196,8.610000008957286e-06,19357.336410369044,8
Llama-120M,tl1,768,2048,128,128,64,128,128,64,0.006614169589010999,8.612199985691405e-06,19352.391600702747,9
Llama-120M,tl1,768,2048,192,256,32,192,256,32,0.006630911986576393,8.633999982521345e-06,19303.528724121657,10
Llama-120M,tl1,768,2048,256,256,32,256,256,32,0.006637209589825943,8.64219998675253e-06,19285.21289974161,11
Llama-120M,tl1,768,2048,32,256,32,32,256,32,0.006637209607288242,8.642200009489898e-06,19285.212849002794,12
Llama-120M,tl1,768,2048,64,256,32,64,256,32,0.0066385920101311065,8.644000013191544e-06,19281.19694728342,13
Llama-120M,tl1,768,2048,128,256,32,128,256,32,0.006649344001198188,8.65800000156014e-06,19250.019246550466,14
Llama-120M,tl1,768,2048,384,256,32,384,256,32,0.006652569584548473,8.662199979880824e-06,19240.685628797928,15
Llama-120M,tl1,768,2048,384,128,64,384,128,64,0.0074190336163155735,9.660200021244236e-06,17252.9208815699,16
Llama-120M,tl1,768,2048,256,64,64,256,64,64,0.010442649526521564,6.7985999521624764e-06,12257.425634645106,17
Llama-120M,tl1,768,2048,384,64,64,384,64,64,0.010460774449165912,6.810400032009057e-06,12236.187733710869,18
Llama-120M,tl1,768,2048,384,128,32,384,128,32,0.01048289272002876,6.82479994793539e-06,12210.37011620289,19
Llama-120M,tl1,768,2048,256,128,32,256,128,32,0.010489344026427715,6.829000017205544e-06,12202.86031972126,20
Llama-120M,tl1,768,2048,192,64,64,192,64,64,0.01053849603049457,6.861000019853236e-06,12145.94564818496,21
Llama-120M,tl1,768,2048,128,64,64,128,64,64,0.010541568032931537,6.8630000214398025e-06,12142.406101268038,22
Llama-120M,tl1,768,2048,128,128,32,128,128,32,0.010544332803692668,6.864800002404081e-06,12139.222308610544,23
