model_name,arch,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-1B,tl1,2048,2048,256,256,64,256,256,64,0.013008691184222699,1.270379998459248e-05,9839.57557200235,1
Llama-1B,tl1,2048,2048,512,256,64,512,256,64,0.013014425616711378,1.2709400016319705e-05,9835.240045910254,2
Llama-1B,tl1,2048,2048,128,256,64,128,256,64,0.015212134388275445,1.485559998855024e-05,8414.335341308471,3
Llama-1B,tl1,2048,2048,64,256,64,64,256,64,0.01532088320236653,1.4961800002311065e-05,8354.60973817936,4
Llama-1B,tl1,2048,2048,512,128,64,512,128,64,0.017382604721933603,8.487599961881642e-06,7363.683524281484,5
Llama-1B,tl1,2048,2048,512,256,32,512,256,32,0.017489919997751714,8.539999998902204e-06,7318.501171900963,6
Llama-1B,tl1,2048,2048,256,128,64,256,128,64,0.01938595832325518,9.465799962526944e-06,6602.717176300364,7
Llama-1B,tl1,2048,2048,128,128,64,128,128,64,0.01947607039473951,9.509799997431401e-06,6572.167660400983,8
Llama-1B,tl1,2048,2048,32,256,32,32,256,32,0.01953669120557606,9.539400002722686e-06,6551.774742872883,9
Llama-1B,tl1,2048,2048,64,128,64,64,128,64,0.019721830310299993,9.629799956201169e-06,6490.269817053961,10
Llama-1B,tl1,2048,2048,64,256,32,64,256,32,0.01983692804351449,9.68600002124731e-06,6452.612003190105,11
Llama-1B,tl1,2048,2048,256,256,32,256,256,32,0.01987747838720679,9.705799993753316e-06,6439.448581283892,12
Llama-1B,tl1,2048,2048,128,256,32,128,256,32,0.02036613104864955,9.944399926098412e-06,6284.944336960235,13
Llama-1B,tl1,2048,2048,128,128,32,128,128,32,0.02806087676435709,6.850799991298118e-06,4561.511070195266,14
Llama-1B,tl1,2048,2048,32,128,32,32,128,32,0.028101017605513333,6.8606000013460285e-06,4554.995189031403,15
Llama-1B,tl1,2048,2048,256,64,64,256,64,64,0.028150169365108012,6.872599942653323e-06,4547.041914378509,16
Llama-1B,tl1,2048,2048,256,128,32,256,128,32,0.028336947225034236,6.918200006111874e-06,4517.070910409099,17
Llama-1B,tl1,2048,2048,512,128,32,512,128,32,0.02847211519256234,6.951199998184165e-06,4495.626655564984,18
Llama-1B,tl1,2048,2048,512,64,64,512,64,64,0.028676915168762206,7.0011999923735855e-06,4463.520544198232,19
Llama-1B,tl1,2048,2048,64,64,64,64,64,64,0.028692480083554982,7.0050000203991655e-06,4461.099201855432,20
Llama-1B,tl1,2048,2048,64,128,32,64,128,32,0.02897018874064088,7.072799985508027e-06,4418.335039027032,21
Llama-1B,tl1,2048,2048,128,64,64,128,64,64,0.03009658893570304,7.347800033130625e-06,4252.973660020186,22
Llama-1B,tl1,2048,2048,256,32,64,256,32,64,0.04645355511456728,5.670599989571201e-06,2755.4403464776096,23
Llama-1B,tl1,2048,2048,128,32,64,128,32,64,0.04858675226569176,5.931000032433076e-06,2634.4629766576063,24
Llama-1B,tl1,2048,2048,512,64,32,512,64,32,0.048866918124258515,5.965199966340151e-06,2619.3589633486267,25
Llama-1B,tl1,2048,2048,512,32,64,512,32,64,0.04907827191054821,5.990999989080592e-06,2608.0787895975086,26
Llama-1B,tl1,2048,2048,64,64,32,64,64,32,0.04914544615894556,5.999199970574409e-06,2604.513947966289,27
Llama-1B,tl1,2048,2048,256,64,32,256,64,32,0.04914544653147459,5.999200016049144e-06,2604.5139282237265,28
Llama-1B,tl1,2048,2048,128,64,32,128,64,32,0.04932730868458748,6.021399985911557e-06,2594.911488450902,29
Llama-1B,tl1,2048,2048,32,64,32,32,64,32,0.04950917139649391,6.043600023986073e-06,2585.379564826742,30
Llama-1B,tl1,2048,2048,64,32,64,64,32,64,0.05567774716764688,6.796599996050645e-06,2298.9435907776456,31
Llama-1B,tl1,2048,2048,128,32,32,128,32,32,0.08886681534349919,5.4239999599303704e-06,1440.3576802571163,32
Llama-1B,tl1,2048,2048,64,32,32,64,32,32,0.08909946903586388,5.438200014395989e-06,1436.596664212197,33
Llama-1B,tl1,2048,2048,256,32,32,256,32,32,0.089335398375988,5.452599998534424e-06,1432.80270001465,34
Llama-1B,tl1,2048,2048,32,32,32,32,32,32,0.10522132441401481,6.422199976441334e-06,1216.4834525020597,35
Llama-1B,tl1,2048,2048,512,32,32,512,32,32,0.12852920331060885,7.844800006751029e-06,995.8826220269182,36
Llama-1B,tl1,2048,5632,64,256,64,64,256,64,0.03326259187888354,1.1811999956989894e-05,3848.16674738025,1
Llama-1B,tl1,2048,5632,256,256,64,256,256,64,0.03346534397569485,1.188399999136891e-05,3824.8523634767835,2
Llama-1B,tl1,2048,5632,128,256,64,128,256,64,0.033543628780171274,1.1911799992958549e-05,3815.9258450792586,3
Llama-1B,tl1,2048,5632,512,256,32,512,256,32,0.04864808953134343,8.637799987809558e-06,2631.1413507313787,4
Llama-1B,tl1,2048,5632,64,256,32,64,256,32,0.048715673713013524,8.649800020066322e-06,2627.4911182395713,5
Llama-1B,tl1,2048,5632,128,256,32,128,256,32,0.048717926617246124,8.65020003857353e-06,2627.3696129483487,6
Llama-1B,tl1,2048,5632,32,256,32,32,256,32,0.048773120017722243,8.660000003146705e-06,2624.396387876966,7
Llama-1B,tl1,2048,5632,512,128,64,512,128,64,0.04898826244752855,8.698200008439017e-06,2612.8707899591486,8
Llama-1B,tl1,2048,5632,256,256,32,256,256,32,0.049076121486723426,8.713799979886972e-06,2608.193070730495,9
Llama-1B,tl1,2048,5632,64,128,64,64,128,64,0.04913469456369057,8.724200029064377e-06,2605.0838646016355,10
Llama-1B,tl1,2048,5632,128,128,64,128,128,64,0.04930365431355313,8.754199984650769e-06,2596.1564468622755,11
