model_name,arch,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-300M,tl2,1024,1024,128,192,32,128,192,32,0.0058799616352189325,7.656200045857986e-06,21768.849516521394,1
Llama-300M,tl2,1024,1024,256,192,32,256,192,32,0.005896703997859732,7.677999997213192e-06,21707.041772227145,2
Llama-300M,tl2,1024,1024,512,192,32,512,192,32,0.005901619215728716,7.684400020480098e-06,21688.962862744596,3
Llama-300M,tl2,1024,1024,64,192,32,64,192,32,0.005921587214106693,7.71040001836809e-06,21615.826191848053,4
Llama-300M,tl2,1024,1024,32,192,32,32,192,32,0.005944320000708103,7.74000000092201e-06,21533.1610654797,5
Llama-300M,tl2,1024,1024,512,96,32,512,96,32,0.009072870397358202,6.443799998123723e-06,14107.993875595364,6
Llama-300M,tl2,1024,1024,256,96,32,256,96,32,0.009081881598103792,6.450199998653261e-06,14093.995678904816,7
Llama-300M,tl2,1024,1024,128,96,32,128,96,32,0.009126656068838201,6.482000048890768e-06,14024.851932027943,8
Llama-300M,tl2,1024,1024,64,96,32,64,96,32,0.009338700739317574,6.632599956901686e-06,13706.403446584112,9
Llama-300M,tl2,1024,1024,32,96,32,32,96,32,0.01030261762207374,7.317200015677372e-06,12424.027047820862,10
Llama-300M,tl2,1024,2816,32,192,32,32,192,32,0.014995967969298363,7.810399984009564e-06,8535.627727537012,1
Llama-300M,tl2,1024,2816,64,192,32,64,192,32,0.01505395196727477,7.840599982955609e-06,8502.750658315801,2
Llama-300M,tl2,1024,2816,512,192,32,512,192,32,0.015177216017036699,7.904800008873281e-06,8433.694285982205,3
Llama-300M,tl2,1024,2816,128,192,32,128,192,32,0.01518758395104669,7.910199974503484e-06,8427.93695248536,4
Llama-300M,tl2,1024,2816,256,192,32,256,192,32,0.015192576029221527,7.912800015219545e-06,8425.167644631412,5
Llama-300M,tl2,1024,2816,256,96,32,256,96,32,0.024576000025263056,6.400000006578921e-06,5208.333327979394,6
Llama-300M,tl2,1024,2816,512,96,32,512,96,32,0.02458367994404398,6.401999985428119e-06,5206.706249485292,7
Llama-300M,tl2,1024,2816,64,96,32,64,96,32,0.024613632063847035,6.409800016626832e-06,5200.370252873358,8
Llama-300M,tl2,1024,2816,32,96,32,32,96,32,0.02519039998878725,6.559999997080013e-06,5081.3008152699185,9
Llama-300M,tl2,1024,2816,128,96,32,128,96,32,0.03544704004889354,9.231000012732693e-06,3611.0208306093937,10
Llama-300M,tl2,2816,1024,64,192,32,64,192,32,0.016169472053297797,7.6560000252357e-06,7916.152090685863,1
Llama-300M,tl2,2816,1024,128,192,32,128,192,32,0.016245503969548738,7.691999985581788e-06,7879.103057678521,2
Llama-300M,tl2,2816,1024,256,192,32,256,192,32,0.016245926413103004,7.692200006204075e-06,7878.898177007793,3
Llama-300M,tl2,2816,1024,32,192,32,32,192,32,0.016444454378506636,7.786199989823218e-06,7783.7790816154775,4
Llama-300M,tl2,2816,1024,64,96,32,64,96,32,0.024827264150371772,6.412000038835685e-06,5155.622432852042,5
Llama-300M,tl2,2816,1024,256,96,32,256,96,32,0.024896960029582263,6.430000007640047e-06,5141.189922300231,6
Llama-300M,tl2,2816,1024,128,96,32,128,96,32,0.02492638727053418,6.437600018216472e-06,5135.12040917821,7
Llama-300M,tl2,2816,1024,32,96,32,32,96,32,0.04074737905539223,1.0523599962652952e-05,3141.3063359485286,8
Llama-300M,tl2,32000,1024,256,192,32,256,192,32,0.1887024000097881,7.862600000407838e-06,678.3167569324003,1
Llama-300M,tl2,32000,1024,64,192,32,64,192,32,0.1895664001494879,7.898600006228663e-06,675.2251448519464,2
Llama-300M,tl2,32000,1024,128,192,32,128,192,32,0.1898111997434171,7.908799989309046e-06,674.3543066638206,3
Llama-300M,tl2,32000,1024,320,192,32,320,192,32,0.1903392007079674,7.930800029498641e-06,672.483647739948,4
Llama-300M,tl2,32000,1024,32,192,32,32,192,32,0.19052640036534285,7.93860001522262e-06,671.8229061933375,5
Llama-300M,tl2,32000,1024,160,192,32,160,192,32,0.1906752004288137,7.944800017867237e-06,671.298625684609,6
Llama-300M,tl2,32000,1024,320,96,32,320,96,32,0.27912719942833064,6.343799987007514e-06,458.5722934280562,7
Llama-300M,tl2,32000,1024,128,96,32,128,96,32,0.280280000242783,6.370000005517795e-06,456.68617057629643,8
Llama-300M,tl2,32000,1024,256,96,32,256,96,32,0.28238320201126044,6.417800045710465e-06,453.2847530884497,9
Llama-300M,tl2,32000,1024,64,96,32,64,96,32,0.28406400024323375,6.45600000552804e-06,450.6026807001177,10
Llama-300M,tl2,32000,1024,32,96,32,32,96,32,0.28440719961508876,6.463799991252017e-06,450.0589302001944,11
Llama-300M,tl2,32000,1024,160,96,32,160,96,32,0.28495280084825936,6.4762000192786214e-06,449.1971990412597,12
