model_name,arch,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-700M,tl1,1536,1536,192,256,64,192,256,64,0.006843916795332916,1.1881799991897424e-05,18702.7405253213,1
Llama-700M,tl1,1536,1536,256,256,64,256,256,64,0.006868339198990726,1.1924199998247787e-05,18636.23742094873,2
Llama-700M,tl1,1536,1536,384,256,64,384,256,64,0.006921446413616651,1.2016400023640018e-05,18493.244381432174,3
Llama-700M,tl1,1536,1536,512,256,64,512,256,64,0.006936537611181848,1.204260001941293e-05,18453.010302093837,4
Llama-700M,tl1,1536,1536,128,256,64,128,256,64,0.00828437758027576,1.4382599965756527e-05,15450.76848075523,5
Llama-700M,tl1,1536,1536,64,256,64,64,256,64,0.008970048010814935,1.557300001877593e-05,14269.71180596514,6
Llama-700M,tl1,1536,1536,256,256,32,256,256,32,0.00992793601762969,8.61800001530355e-06,12892.911454375006,7
Llama-700M,tl1,1536,1536,384,128,64,384,128,64,0.009959961619460956,8.64580001689319e-06,12851.45514515823,8
Llama-700M,tl1,1536,1536,512,256,32,512,256,32,0.009960422388394364,8.646199989925663e-06,12850.860637109368,9
Llama-700M,tl1,1536,1536,384,256,32,384,256,32,0.009974246425554155,8.658200022182427e-06,12833.049690056008,10
Llama-700M,tl1,1536,1536,192,128,64,192,128,64,0.010015487982309423,8.693999984643596e-06,12780.206039494951,11
Llama-700M,tl1,1536,1536,128,128,64,128,128,64,0.010124236784758977,8.788399986769945e-06,12642.928323514832,12
Llama-700M,tl1,1536,1536,512,128,64,512,128,64,0.01015165443532169,8.812200030661188e-06,12608.782225154997,13
Llama-700M,tl1,1536,1536,128,256,32,128,256,32,0.010168243164662272,8.82659996932489e-06,12588.211938601036,14
Llama-700M,tl1,1536,1536,64,128,64,64,128,64,0.011414476760546676,9.908399965752323e-06,11213.829830765688,15
Llama-700M,tl1,1536,1536,64,256,32,64,256,32,0.011656857564230448,1.0118799968950043e-05,10980.660893787817,16
Llama-700M,tl1,1536,1536,256,128,64,256,128,64,0.01210014719108585,1.0503599992262024e-05,10578.383715389618,17
Llama-700M,tl1,1536,1536,192,128,32,192,128,32,0.014805504062678665,6.426000027204282e-06,8645.4334454346,18
Llama-700M,tl1,1536,1536,128,128,32,128,128,32,0.015446937637170779,6.70440001613315e-06,8286.432107551653,19
Llama-700M,tl1,1536,1536,192,64,64,192,64,64,0.015460761543363332,6.710399975418113e-06,8279.022973156529,20
Llama-700M,tl1,1536,1536,384,128,32,384,128,32,0.01577502717263997,6.846799988124985e-06,8114.090619254322,21
Llama-700M,tl1,1536,1536,512,128,32,512,128,32,0.01586764804087579,6.887000017741229e-06,8066.727953019005,22
Llama-700M,tl1,1536,1536,256,128,32,256,128,32,0.015889305568998677,6.8963999865445654e-06,8055.73279739414,23
Llama-700M,tl1,1536,1536,384,64,64,384,64,64,0.016006348788505417,6.947199995011033e-06,7996.826864845041,24
Llama-700M,tl1,1536,1536,256,64,64,256,64,64,0.01610265601775609,6.9890000077066364e-06,7948.999212232867,25
Llama-700M,tl1,1536,1536,512,64,64,512,64,64,0.016195276781218126,7.029199991848145e-06,7903.538897738585,26
Llama-700M,tl1,1536,1536,64,64,64,64,64,64,0.016250112029956656,7.05300001300202e-06,7876.868772598943,27
Llama-700M,tl1,1536,1536,64,128,32,64,128,32,0.016295731166610497,7.072799985508027e-06,7854.817847159166,28
Llama-700M,tl1,1536,1536,192,256,32,192,256,32,0.01645539840683341,1.428420000593178e-05,7778.6023063923885,29
Llama-700M,tl1,1536,1536,32,128,32,32,128,32,0.016559769550804047,7.18739997864759e-06,7729.576163925848,30
Llama-700M,tl1,1536,1536,32,256,32,32,256,32,0.018962841597385705,1.6460799997730646e-05,6750.0432012070705,31
Llama-700M,tl1,1536,1536,128,64,64,128,64,64,0.021296332898782567,9.243200042874378e-06,6010.424452339271,32
Llama-700M,tl1,1536,1536,64,64,32,64,64,32,0.025731993676163252,5.584200016528484e-06,4974.352225127911,33
Llama-700M,tl1,1536,1536,64,32,64,64,32,64,0.026093260827474294,5.662600005962304e-06,4905.481183295626,34
Llama-700M,tl1,1536,1536,128,64,32,128,64,32,0.026120908849406987,5.6686000107220025e-06,4900.288911766022,35
Llama-700M,tl1,1536,1536,192,64,32,192,64,32,0.02690334735671058,5.838400034008373e-06,4757.772269110319,36
Llama-700M,tl1,1536,1536,128,32,64,128,32,64,0.027191807935014363,5.900999985897215e-06,4707.300092215527,37
Llama-700M,tl1,1536,1536,192,32,64,192,32,64,0.027191808039788157,5.901000008634583e-06,4707.300074077649,38
Llama-700M,tl1,1536,1536,256,64,32,256,64,32,0.02722867206903174,5.909000014980847e-06,4700.9270108908295,39
Llama-700M,tl1,1536,1536,256,32,64,256,32,64,0.027310694439802323,5.926800008637656e-06,4686.808688886876,40
Llama-700M,tl1,1536,1536,384,64,32,384,64,32,0.0274129921104759,5.949000023974804e-06,4669.318820950037,41
Llama-700M,tl1,1536,1536,512,64,32,512,64,32,0.027532799995969977,5.9749999991254296e-06,4649.000465580529,42
Llama-700M,tl1,1536,1536,512,32,64,512,32,64,0.02756044801790267,5.981000003885128e-06,4644.33669281624,43
Llama-700M,tl1,1536,1536,32,64,32,32,64,32,0.027837849513161927,6.041199981154932e-06,4598.05632398008,44
Llama-700M,tl1,1536,1536,384,32,64,384,32,64,0.029047910508234052,6.303800023488293e-06,4406.513162580714,45
Llama-700M,tl1,1536,1536,192,32,32,192,32,32,0.04963737577199935,5.385999975260347e-06,2578.7019964138663,46
Llama-700M,tl1,1536,1536,128,32,32,128,32,32,0.04980142093263567,5.403800014391891e-06,2570.207789314693,47
Llama-700M,tl1,1536,1536,384,32,32,384,32,32,0.049840127932839096,5.4079999927125755e-06,2568.2117062878215,48
Llama-700M,tl1,1536,1536,256,32,32,256,32,32,0.05022719982080161,5.4499999805557305e-06,2548.4199887047807,49
Llama-700M,tl1,1536,1536,512,32,32,512,32,32,0.050229043210856625,5.450200001178019e-06,2548.3264624943877,50
Llama-700M,tl1,1536,1536,64,32,32,64,32,32,0.05048524802550674,5.478000002767658e-06,2535.394100378201,51
Llama-700M,tl1,1536,1536,32,32,32,32,32,32,0.056693145562894634,6.151599995973811e-06,2257.7685314355767,52
Llama-700M,tl1,1536,4096,384,256,64,384,256,64,0.018075955216772854,1.1768200010919827e-05,7081.230201390827,1
Llama-700M,tl1,1536,4096,128,256,64,128,256,64,0.01815183365251869,1.1817600034191856e-05,7051.629188009836,2
Llama-700M,tl1,1536,4096,64,256,64,64,256,64,0.01840220158919692,1.1980599992966745e-05,6955.689479846958,3
Llama-700M,tl1,1536,4096,256,256,64,256,256,64,0.018481151992455126,1.2031999995087972e-05,6925.975180132473,4
Llama-700M,tl1,1536,4096,512,256,64,512,256,64,0.018653798382729292,1.214439998875605e-05,6861.873242851676,5
