model_name,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-80M,512,512,32,192,32,32,192,32,0.03165542375296354,0.0001648719987133518,337.2578145704397,1
Llama-80M,1408,512,128,192,32,128,192,32,0.1250694728270173,0.00023687400156632065,337.2578145704397,1
Llama-80M,512,1408,32,192,32,32,192,32,0.08239103972911835,0.00016091999947093427,337.2578145704397,1
Llama-80M,32000,512,320,192,32,320,192,32,3.5675760079175234,0.0002972980006597936,337.2578145704397,1
Llama-80M,1408,512,32,192,32,32,192,32,0.13114569622557612,0.0002483820004272275,321.6320343640125,2
Llama-80M,512,1408,64,192,32,64,192,32,0.10272255972027779,0.00020062999945366755,270.5055449834499,2
Llama-80M,32000,512,320,96,32,320,96,32,5.162208017427474,0.00021509200072614476,233.07718009081597,2
Llama-80M,1408,512,64,96,32,64,96,32,0.18541036728769542,0.00017557799932546914,227.49891331408915,3
Llama-80M,32000,512,32,192,32,32,192,32,5.375184004660696,0.0004479320003883913,223.84217669589304,3
Llama-80M,1408,512,32,96,32,32,96,32,0.1982977938372642,0.0001877820017398335,212.71369821558872,4
Llama-80M,512,512,512,192,32,512,192,32,0.054650495890527964,0.00028463799942983313,195.35118319166142,2
Llama-80M,32000,512,64,192,32,64,192,32,6.163079997058958,0.0005135899997549131,195.22590787696492,4
Llama-80M,512,1408,64,96,32,64,96,32,0.14920704066753387,0.00015542400069534779,186.23130567373374,3
Llama-80M,1408,512,64,192,32,64,192,32,0.22649616003502163,0.0004289700000663288,186.23122382558154,5
Llama-80M,512,1408,32,96,32,32,96,32,0.159043200686574,0.00016567000071518123,174.71367451909205,4
Llama-80M,512,512,32,96,32,32,96,32,0.0716835843399167,0.00018667600088519975,148.9328293574288,3
Llama-80M,512,512,64,192,32,64,192,32,0.07300454383715987,0.00038023199915187433,146.238007568941,4
Llama-80M,32000,512,160,192,32,160,192,32,10.470216013491154,0.0008725180011242628,114.91576546213098,5
Llama-80M,32000,512,64,96,32,64,96,32,10.470335979480296,0.0004362639991450123,114.91444879153907,6
Llama-80M,512,1408,128,192,32,128,192,32,0.2457333765923977,0.00047994800115702674,113.07793179971459,5
Llama-80M,512,1408,256,192,32,256,192,32,0.25515622496604917,0.0004983520018868148,108.901995249875,6
Llama-80M,512,1408,128,96,32,128,96,32,0.25554047813639047,0.00026618799805874007,108.73824061798095,7
Llama-80M,512,1408,512,192,32,512,192,32,0.2574991361796856,0.0005029280003509485,107.91112704874726,8
Llama-80M,32000,512,128,192,32,128,192,32,12.041736007668078,0.0010034780006390066,99.91855717298688,7
Llama-80M,32000,512,32,96,32,32,96,32,13.322831997647882,0.000555117999901995,90.31059522154288,8
Llama-80M,512,512,256,192,32,256,192,32,0.12393523190170527,0.0006454959994880483,86.14208300907511,5
Llama-80M,1408,512,128,96,32,128,96,32,0.5079866891540588,0.00048104800109285864,83.03496523769067,6
Llama-80M,512,512,64,96,32,64,96,32,0.1349890562519431,0.0003515340006561018,79.08818189157459,6
Llama-80M,32000,512,256,96,32,256,96,32,15.845184030476958,0.0006602160012698732,75.93429558343729,9
Llama-80M,32000,512,128,96,32,128,96,32,16.393103976733983,0.0006830459990305826,73.39628233016985,10
Llama-80M,512,1408,256,96,32,256,96,32,0.4536748808808625,0.0004725780009175651,61.24875581666984,9
Llama-80M,512,1408,512,96,32,512,96,32,0.47908223960548646,0.0004990439995890484,58.000526218861125,10
Llama-80M,32000,512,256,192,32,256,192,32,22.475639985641465,0.0018729699988034555,53.53319809860167,11
Llama-80M,512,512,128,192,32,128,192,32,0.21751872019842267,0.0011329100010334513,49.08101254221653,7
Llama-80M,32000,512,160,96,32,160,96,32,33.1617119978182,0.0013817379999090918,36.282592642483564,12
Llama-80M,512,512,128,96,32,128,96,32,0.3043176963552833,0.0007924940009252169,35.081886995364414,8
Llama-80M,512,512,512,96,32,512,96,32,0.3843701762706041,0.0010009640007046983,27.775409470659685,9
Llama-80M,512,512,256,96,32,256,96,32,1.1576647678390146,0.003014751999580767,9.222047116588318,10
