model_name,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-700M,1536,1536,64,256,64,64,256,64,0.02711347276344895,4.707200132543221e-05,43.031705224536026,1
Llama-700M,4096,1536,128,256,64,128,256,64,0.07229951977729797,4.70699998550117e-05,43.031705224536026,1
Llama-700M,1536,4096,256,256,64,256,256,64,0.05764301061630249,3.7528001703321936e-05,43.031705224536026,1
Llama-700M,32000,1536,256,256,64,256,256,64,0.4466399853117764,3.7219998775981364e-05,43.031705224536026,1
Llama-700M,1536,4096,192,256,64,192,256,64,0.06582067295908928,4.2852000624407084e-05,37.68537952562815,2
Llama-700M,1536,1536,256,256,64,256,256,64,0.03268108757212758,5.673799925716594e-05,35.70073869161219,2
Llama-700M,32000,1536,64,256,64,64,256,64,0.55183200747706,4.598600062308833e-05,34.82886082903852,2
Llama-700M,1536,1536,512,256,64,512,256,64,0.0361221126280725,6.271200109040365e-05,32.299854097223644,3
Llama-700M,1536,4096,256,128,64,256,128,64,0.07774618059396744,2.530800149543211e-05,31.9048089841213,3
Llama-700M,1536,1536,192,256,64,192,256,64,0.040186367724090816,6.9767999520991e-05,29.03320289061078,4
Llama-700M,1536,4096,256,256,32,256,256,32,0.09631334602832795,3.1352000660263e-05,25.75424012748934,4
Llama-700M,32000,1536,320,256,64,320,256,64,0.7564319937955589,6.303599948296324e-05,25.408338551346326,3
Llama-700M,1536,4096,64,256,64,64,256,64,0.09848524913191795,6.411800073692575e-05,25.186279802907407,5
Llama-700M,1536,1536,64,256,32,64,256,32,0.048222718723118306,4.1859998891595754e-05,24.194798602486895,5
Llama-700M,1536,1536,256,256,32,256,256,32,0.04879180803894997,4.235400003381074e-05,23.912599562591048,6
Llama-700M,1536,4096,128,128,64,128,128,64,0.10452172815799712,3.402400005143136e-05,23.73168799262476,6
Llama-700M,1536,1536,64,128,64,64,128,64,0.049685758464038374,4.3129998666699975e-05,23.482362021597904,7
Llama-700M,1536,4096,512,256,64,512,256,64,0.10802995294332504,7.033200061414391e-05,22.96101195560868,7
Llama-700M,4096,1536,128,256,32,128,256,32,0.13964083403348923,4.545600066194311e-05,22.279812667017335,2
Llama-700M,1536,1536,512,256,32,512,256,32,0.05276851281523704,4.5806000707671045e-05,22.110514496692858,8
Llama-700M,4096,1536,256,128,64,256,128,64,0.14652211278676988,4.7696000256109985e-05,21.23346137835053,3
Llama-700M,1536,1536,128,256,64,128,256,64,0.05602867199108005,9.727199998451397e-05,20.823962555385396,9
Llama-700M,4096,1536,128,128,64,128,128,64,0.1513144326210022,4.9256000202149154e-05,20.560970748406806,4
Llama-700M,1536,1536,384,256,64,384,256,64,0.05693183932453394,9.883999882731587e-05,20.493610981358763,10
Llama-700M,1536,4096,512,256,32,512,256,32,0.12480921238660811,4.062799882376566e-05,19.874150262338183,8
Llama-700M,4096,1536,32,256,32,32,256,32,0.15695462822914125,5.109200137667358e-05,19.82210819798277,5
Llama-700M,1536,4096,384,256,32,384,256,32,0.12791193902492523,4.1638000984676184e-05,19.39206816818075,9
Llama-700M,1536,4096,384,128,64,384,128,64,0.1296568375825882,4.220600181724876e-05,19.131093179066063,10
Llama-700M,4096,1536,512,256,64,512,256,64,0.17172787204384804,0.0001118020000285469,18.116870522554485,6
Llama-700M,1536,4096,192,128,64,192,128,64,0.13872537821531297,4.515800072113052e-05,17.880484976913372,11
Llama-700M,1536,1536,512,128,64,512,128,64,0.07034342385828495,6.106199987698346e-05,16.5863261066273,11
Llama-700M,32000,1536,128,256,64,128,256,64,1.186056020669639,9.883800172246992e-05,16.204698475014833,4
Llama-700M,1536,1536,192,128,64,192,128,64,0.07430399917066098,6.449999928008765e-05,15.702236495918104,12
Llama-700M,1536,1536,192,256,32,192,256,32,0.07466112155467272,6.481000134954229e-05,15.627128862721996,13
Llama-700M,1536,4096,128,256,32,128,256,32,0.16365158289670945,5.327199964085594e-05,15.15706110011237,12
Llama-700M,32000,1536,64,256,32,64,256,32,1.3194240164011717,5.4976000683382154e-05,14.566719985778786,5
Llama-700M,1536,4096,512,128,64,512,128,64,0.1714237439632416,5.580199998803437e-05,14.469856880663034,13
Llama-700M,1536,4096,256,128,32,256,128,32,0.17226546943187712,2.803799958201125e-05,14.399154103698312,14
Llama-700M,32000,1536,256,256,32,256,256,32,1.3472160184755921,5.613400076981634e-05,14.266220061111655,6
Llama-700M,32000,1536,64,128,64,64,128,64,1.3546560192480683,5.644400080200285e-05,14.187867559246346,7
Llama-700M,1536,4096,384,256,64,384,256,64,0.17564160257577896,0.00011435000167693943,14.122377641284332,15
Llama-700M,4096,1536,512,256,32,512,256,32,0.22141133040189742,7.207400078186765e-05,14.05154658203317,7
Llama-700M,1536,4096,64,256,32,64,256,32,0.18029567688703538,5.868999898666516e-05,13.757828717377828,16
Llama-700M,4096,1536,256,256,64,256,256,64,0.23613235116004944,0.0001537319994531572,13.17554163014055,8
Llama-700M,1536,4096,32,256,32,32,256,32,0.1908449247479439,6.212399894138798e-05,12.997343494313979,17
Llama-700M,32000,1536,160,256,32,160,256,32,1.4931359840556981,6.221399933565409e-05,12.872022638703292,8
Llama-700M,1536,1536,128,128,32,128,128,32,0.09108172819018365,3.953200008254498e-05,12.809802698670874,14
Llama-700M,32000,1536,320,128,64,320,128,64,1.5449759806506336,6.43739991937764e-05,12.440115853020254,9
Llama-700M,1536,4096,384,128,32,384,128,32,0.20120371341705323,3.274800023064017e-05,12.328187183871796,18
Llama-700M,1536,1536,64,128,32,64,128,32,0.09486950419843199,4.117600008612499e-05,12.298356330922044,15
Llama-700M,1536,1536,128,64,64,128,64,64,0.0962150377035141,4.1759999003261325e-05,12.126368137645162,16
Llama-700M,1536,4096,256,64,64,256,64,64,0.20486553311347963,3.334399953018874e-05,12.107829967286577,19
Llama-700M,1536,4096,192,256,32,192,256,32,0.20708352148532866,6.741000048350543e-05,11.978147866638752,20
Llama-700M,4096,1536,64,256,64,64,256,64,0.2625208340585232,0.00017091200134018437,11.851141773527322,9
Llama-700M,1536,1536,64,64,64,64,64,64,0.10033459156751631,4.354799981229007e-05,11.62848175631541,17
Llama-700M,1536,4096,384,64,64,384,64,64,0.21723955214023588,3.535800002282485e-05,11.418164955036792,21
Llama-700M,1536,1536,128,128,64,128,128,64,0.10418227136135101,9.043599944561719e-05,11.199016419247048,18
Llama-700M,1536,1536,32,256,32,32,256,32,0.10477900888770819,9.095400077058002e-05,11.135235768651116,19
Llama-700M,32000,1536,256,64,64,256,64,64,1.7294399812817574,3.6029999610036615e-05,11.113239197340047,10
Llama-700M,1536,1536,128,256,32,128,256,32,0.10749081473797562,9.330799890449271e-05,10.854313184008477,20
Llama-700M,32000,1536,64,64,64,64,64,64,1.7775360820814967,3.703200171003118e-05,10.812540112784205,11
Llama-700M,4096,1536,256,64,64,256,64,64,0.2880798679590225,4.688799934228882e-05,10.799684285382769,10
Llama-700M,1536,1536,256,128,32,256,128,32,0.10834790356457234,4.70259998110123e-05,10.768449865528568,21
Llama-700M,32000,1536,128,128,64,128,128,64,1.8136799870990217,7.556999946245924e-05,10.597062506142173,12
Llama-700M,32000,1536,160,128,32,160,128,32,1.8291839724406598,3.810799942584708e-05,10.507242835603275,13
Llama-700M,4096,1536,256,128,32,256,128,32,0.3018178564310074,4.912400007015094e-05,10.308109863749504,11
Llama-700M,4096,1536,256,256,32,256,256,32,0.3069173750281334,9.990799968363717e-05,10.136837716167145,12
Llama-700M,32000,1536,128,64,64,128,64,64,1.925856010057032,4.01220002095215e-05,9.979811620941636,14
Llama-700M,1536,4096,64,128,64,64,128,64,0.2503987205028534,8.151000016368925e-05,9.906109089192665,22
Llama-700M,1536,4096,512,64,64,512,64,64,0.25044172704219814,4.0761999844107774e-05,9.904407985006356,23
Llama-700M,4096,1536,64,64,64,64,64,64,0.3237642306089401,5.269600107567385e-05,9.609374133395358,13
Llama-700M,4096,1536,512,64,64,512,64,64,0.32684850811958316,5.3197999368421736e-05,9.518696110413094,14
Llama-700M,4096,1536,64,128,32,64,128,32,0.3277332490682602,5.334200017387047e-05,9.49299966291856,15
Llama-700M,1536,1536,192,64,64,192,64,64,0.12545740507543088,5.445199873065576e-05,9.299881237530165,22
Llama-700M,32000,1536,320,128,32,320,128,32,2.077248003333807,4.3276000069454313e-05,9.252472578421788,15
Llama-700M,4096,1536,512,128,32,512,128,32,0.3487825959920883,5.6768000649753955e-05,8.920088498345748,16
Llama-700M,4096,1536,32,128,32,32,128,32,0.34964275717735294,5.690800084266812e-05,8.89814406009299,17
Llama-700M,32000,1536,320,64,64,320,64,64,2.171231950633228,4.523399897152558e-05,8.851970045771548,16
Llama-700M,32000,1536,32,256,32,32,256,32,2.191680029500276,9.132000122917816e-05,8.769382359983329,17
Llama-700M,4096,1536,64,128,64,64,128,64,0.36883045971393585,0.00012006199860479682,8.435235054461653,18
Llama-700M,1536,4096,64,64,64,64,64,64,0.3006873643398285,4.89400007063523e-05,8.249355760397577,24
Llama-700M,32000,1536,256,128,32,256,128,32,2.370624002069235,4.938800004310906e-05,8.107435077283988,18
Llama-700M,1536,1536,512,128,32,512,128,32,0.14817484974861145,6.431200075894594e-05,7.8740688419773806,23
Llama-700M,1536,4096,128,256,64,128,256,64,0.31823155134916303,0.00020718199957627803,7.79456666248016,25
Llama-700M,1536,1536,64,64,32,64,64,32,0.15457996755838393,3.354599990416318e-05,7.5478018659148125,24
Llama-700M,1536,1536,192,128,32,192,128,32,0.15479193583130837,6.718399992678315e-05,7.537466091526427,25
Llama-700M,4096,1536,512,128,64,512,128,64,0.4158136305212975,0.00013535599951865153,7.482129960558972,19
Llama-700M,1536,4096,32,128,32,32,128,32,0.3383377951383591,5.506800051080063e-05,7.331362551680544,26
Llama-700M,32000,1536,32,128,32,32,128,32,2.6579520106315613,5.537400022149086e-05,7.231010986109052,19
Llama-700M,1536,1536,384,64,64,384,64,64,0.16264857731759547,7.059400057187304e-05,7.173373335396538,26
Llama-700M,1536,4096,512,32,64,512,32,64,0.34637414932250976,2.8188000433146952e-05,7.161264909483622,27
Llama-700M,1536,1536,512,64,64,512,64,64,0.16497100554406643,7.160199893405662e-05,7.072388046144063,27
Llama-700M,32000,1536,32,64,32,32,64,32,2.718527941033244,2.831799938576296e-05,7.069885101906491,20
Llama-700M,1536,4096,256,32,64,256,32,64,0.3522232246398926,2.8663999401032925e-05,7.042343796697478,28
Llama-700M,1536,1536,384,128,64,384,128,64,0.16645017541944984,0.0001444879994960502,7.009538828241372,28
Llama-700M,32000,1536,128,128,32,128,128,32,2.7554879849776626,5.7405999687034633e-05,6.975054979085044,21
Llama-700M,32000,1536,128,256,32,128,256,32,2.7725760103203356,0.00011552400043001399,6.932066106713112,22
Llama-700M,1536,4096,512,64,32,512,64,32,0.3760865199565887,3.060599934542551e-05,6.595495742261244,29
Llama-700M,32000,1536,256,128,64,256,128,64,2.9606879828497763,0.00012336199928540735,6.4916263722352054,23
Llama-700M,1536,4096,192,128,32,192,128,32,0.3900457030534744,6.348400114802643e-05,6.359452294121188,30
Llama-700M,1536,4096,256,64,32,256,64,32,0.3936337745189667,3.203399857738987e-05,6.301484277172998,31
Llama-700M,32000,1536,320,32,64,320,32,64,3.2125440426170826,3.3464000443927945e-05,5.982697804127301,24
Llama-700M,32000,1536,256,64,32,256,64,32,3.2687999960035086,3.404999995836988e-05,5.879735747958204,25
Llama-700M,32000,1536,320,256,32,320,256,32,3.269376007374376,0.00013622400030726566,5.87869983326351,26
Llama-700M,4096,1536,128,128,32,128,128,32,0.5308538818359375,8.640199899673462e-05,5.8606929880070435,20
Llama-700M,1536,4096,64,128,32,64,128,32,0.4434370619058609,7.217400096124038e-05,5.593752201123235,32
Llama-700M,32000,1536,64,128,32,64,128,32,3.4415040677413344,7.16980014112778e-05,5.5846745524962795,27
Llama-700M,1536,4096,512,128,32,512,128,32,0.4564254730939865,7.42880001780577e-05,5.434571879349847,33
Llama-700M,1536,4096,384,32,64,384,32,64,0.4644372475147247,3.7795999960508195e-05,5.340822800860492,34
Llama-700M,1536,1536,256,128,64,256,128,64,0.2199329289793968,0.00019091400085017085,5.304976262465548,29
Llama-700M,32000,1536,160,64,32,160,64,32,3.6560639832168818,3.808399982517585e-05,5.256932120897002,28
Llama-700M,4096,1536,128,64,64,128,64,64,0.5952798718214035,9.688799997093156e-05,5.226401513313078,21
Llama-700M,1536,1536,384,32,64,384,32,64,0.23154277682304383,5.024799844250083e-05,5.038978039301566,30
Llama-700M,1536,1536,128,64,32,128,64,32,0.23169024869799615,5.028000188758597e-05,5.0357707073423,31
Llama-700M,1536,1536,384,256,32,384,256,32,0.2340472321584821,0.00020316600013757126,4.985057745866351,32
Llama-700M,4096,1536,64,256,32,64,256,32,0.6277263361215591,0.00020433800003957003,4.956254730611973,22
Llama-700M,4096,1536,64,64,32,64,64,32,0.6502809762954711,5.292000132612884e-05,4.784349744714908,23
Llama-700M,1536,1536,384,64,32,384,64,32,0.2442885147035122,5.301400058669969e-05,4.776069677226814,33
Llama-700M,1536,4096,192,64,64,192,64,64,0.5231001538038254,8.513999899150803e-05,4.741877866137592,35
Llama-700M,4096,1536,256,64,32,256,64,32,0.6697943150997161,5.450800090329721e-05,4.644965704835851,24
Llama-700M,32000,1536,256,32,64,256,32,64,4.255104074254632,4.432400077348575e-05,4.516853137791743,29
Llama-700M,4096,1536,512,64,32,512,64,32,0.7013253128528595,5.707400006940588e-05,4.4361319432155355,25
Llama-700M,1536,4096,256,32,32,256,32,32,0.5718835186958313,2.326999994693324e-05,4.3373815820959605,36
Llama-700M,1536,4096,128,32,64,128,32,64,0.5750046694278718,4.6793999790679666e-05,4.313838083373476,37
Llama-700M,1536,1536,128,32,64,128,32,64,0.27109784960746763,5.88319986127317e-05,4.303755892049992,34
Llama-700M,1536,4096,64,64,32,64,64,32,0.5767741513252258,4.69380005961284e-05,4.3006036858556485,38
Llama-700M,1536,1536,512,64,32,512,64,32,0.27353088542819026,5.9360001177992675e-05,4.265474320180651,35
Llama-700M,4096,1536,64,32,64,64,32,64,0.740646915435791,6.0274000279605385e-05,4.200613758178699,26
Llama-700M,4096,1536,256,32,64,256,32,64,0.7549255728721618,6.143600039649754e-05,4.121163376537306,27
Llama-700M,1536,1536,32,128,32,32,128,32,0.2832353241741657,0.00012293199833948165,4.119327174222011,36
Llama-700M,1536,4096,384,64,32,384,64,32,0.613539844751358,4.9930000386666507e-05,4.042894788847435,39
Llama-700M,1536,4096,128,128,32,128,128,32,0.6216130542755127,0.00010117399971932173,3.9903876278571953,40
Llama-700M,1536,1536,192,32,64,192,32,64,0.2925066250562668,6.347800022922456e-05,3.98876082668482,37
Llama-700M,32000,1536,64,64,32,64,64,32,4.945535911247134,5.151599907549098e-05,3.8862684518614206,30
Llama-700M,1536,4096,32,64,32,32,64,32,0.6390251612663269,5.200400075409562e-05,3.881657861765696,41
Llama-700M,1536,4096,128,64,64,128,64,64,0.6500720626115799,0.00010580599977402017,3.815695495558655,42
Llama-700M,1536,4096,512,32,32,512,32,32,0.6576046085357666,2.67580000218004e-05,3.77198853064397,43
Llama-700M,1536,1536,384,128,32,384,128,32,0.3383930897712707,0.0001468720007687807,3.447880594603314,38
Llama-700M,1536,1536,256,64,64,256,64,64,0.3653544945269823,0.0001585739993606694,3.1934435871133235,39
Llama-700M,32000,1536,128,64,32,128,64,32,6.4224001206457615,6.690000125672668e-05,2.9926008701393325,31
Llama-700M,1536,4096,64,32,64,64,32,64,0.8431534159183502,6.861600064439699e-05,2.941904752166402,44
Llama-700M,32000,1536,128,32,64,128,32,64,6.6351360362023115,6.911600037710741e-05,2.896652018068954,32
Llama-700M,32000,1536,32,32,32,32,32,32,6.689664367586374,3.484200191451237e-05,2.8730410276714538,33
Llama-700M,32000,1536,320,32,32,320,32,32,6.724991966038942,3.502599982311949e-05,2.857948423802796,34
Llama-700M,1536,1536,512,32,64,512,32,64,0.4165724202990532,9.040200093295425e-05,2.8008070403043748,40
Llama-700M,4096,1536,128,64,32,128,64,32,1.1648286652565003,9.479399945121259e-05,2.6709263909187064,28
Llama-700M,4096,1536,32,64,32,32,64,32,1.1761582124233245,9.571600035997108e-05,2.645198231045826,29
Llama-700M,1536,4096,32,32,32,32,32,32,0.9404252099990844,3.826599975582212e-05,2.637612236169152,45
Llama-700M,1536,1536,384,32,32,384,32,32,0.44404532700777055,4.818200162844732e-05,2.627522229391244,41
Llama-700M,1536,4096,128,32,32,128,32,32,0.9673605251312256,3.936200053431094e-05,2.5641702102316453,46
Llama-700M,4096,1536,512,32,64,512,32,64,1.2284313583374025,9.996999986469746e-05,2.532637743099424,30
Llama-700M,32000,1536,128,32,32,128,32,32,7.768704313784838,4.046200163429603e-05,2.473987863757917,35
Llama-700M,4096,1536,256,32,32,256,32,32,1.283899405002594,5.22420005290769e-05,2.423220706240543,31
Llama-700M,1536,4096,192,64,32,192,64,32,1.0655416202545165,8.671399904415011e-05,2.327902537024354,47
Llama-700M,4096,1536,128,32,64,128,32,64,1.369964554309845,0.00011148800083901733,2.270986948636442,32
Llama-700M,32000,1536,320,64,32,320,64,32,8.801471879705787,9.168199874693528e-05,2.183689325162047,36
Llama-700M,1536,1536,192,32,32,192,32,32,0.5346017244458199,5.800799961434677e-05,2.182445200265093,42
Llama-700M,32000,1536,64,32,64,64,32,64,9.739776011556387,0.00010145600012037903,1.973318499996615,37
Llama-700M,1536,4096,384,32,32,384,32,32,1.2800654983520507,5.2085998468101025e-05,1.9377735313457647,48
Llama-700M,32000,1536,256,32,32,256,32,32,9.966336339712143,5.190800176933408e-05,1.9284599209083668,38
Llama-700M,4096,1536,64,32,32,64,32,32,1.6634020042419433,6.768400082364679e-05,1.8703666431795858,33
Llama-700M,32000,1536,160,32,32,160,32,32,10.324224047362804,5.3772000246681276e-05,1.8616101414746895,39
Llama-700M,1536,1536,192,64,32,192,64,32,0.6586490902304649,0.00014293600048404187,1.7714120992135176,43
Llama-700M,1536,1536,32,64,32,32,64,32,0.6743900147080422,0.0001463519997196272,1.7300656031737476,44
Llama-700M,1536,1536,256,32,64,256,32,64,0.7270410253107548,0.00015777800028445198,1.6047773467412367,45
Llama-700M,1536,1536,128,32,32,128,32,32,0.7424225297570228,8.055800019064918e-05,1.5715295816144845,46
Llama-700M,1536,1536,64,32,32,64,32,32,0.7502376875281334,8.140599908074364e-05,1.5551591008635772,47
Llama-700M,4096,1536,128,32,32,128,32,32,2.0712652587890625,8.427999913692475e-05,1.5020633449677534,34
Llama-700M,1536,4096,64,32,32,64,32,32,1.8036817860603334,7.339199975831435e-05,1.3752298549920363,49
Llama-700M,1536,1536,64,32,64,64,32,64,0.8492451891303061,0.0001842980011133477,1.3738540794856358,48
Llama-700M,1536,1536,512,32,32,512,32,32,0.8636682263016701,9.371400024974718e-05,1.3509110698286728,49
Llama-700M,1536,1536,256,64,32,256,64,32,0.9665372090041637,0.00020975199848180637,1.207133007090672,50
Llama-700M,1536,4096,128,64,32,128,64,32,2.076205061674118,0.0001689620004617609,1.1947167873174496,50
Llama-700M,1536,1536,256,32,32,256,32,32,1.110509572327137,0.00012049800046952441,1.0506338681306928,51
Llama-700M,4096,1536,512,32,32,512,32,32,3.678289897441864,0.0001496699990821071,0.8458201255686567,35
Llama-700M,1536,4096,192,32,64,192,32,64,3.4039971613883973,0.00027701799815986304,0.7286953905930436,51
Llama-700M,1536,1536,32,32,32,32,32,32,1.6711741581559179,0.0001813340015360154,0.6981552233057965,52
Llama-700M,1536,4096,192,32,32,192,32,32,3.5597844672203065,0.00014484800078207627,0.6968054004214572,52
Llama-700M,32000,1536,64,32,32,64,32,32,33.099264074116945,0.00017239200038602576,0.5806679008448686,40
Llama-700M,4096,1536,32,32,32,32,32,32,10.138533854484557,0.00041253799863625316,0.30686602891364223,36
